frm_cd,frm_nm,type_label,note_summary,wired_components,bound_products,viewer_exposed,use_yn,status
PRF_DGP_A,디지털인쇄 합산형A 엽서·상품권·슬로건,합산형,인쇄비+코팅비+용지비+후가공비+추가상품,29,9,Y,Y,개선
PRF_DGP_B,디지털인쇄 합산형B 모양엽서·라벨택,합산형,인쇄비+용지비+커팅비(완칼),4,2,Y,Y,개선
PRF_DGP_C,디지털인쇄 합산형C 인쇄배경지·헤더택,합산형,인쇄비+용지비+접지비+타공비+추가상품,5,3,Y,Y,개선
PRF_DGP_D,디지털인쇄 합산형D 소량전단지,합산형,인쇄비+코팅비+용지비+후가공비,20,1,Y,Y,개선
PRF_DGP_E,디지털인쇄 합산형E 접지카드·접지리플렛,합산형,인쇄비+코팅비+용지비+접지비+후가공비+박+추가상품,10,3,Y,Y,개선
PRF_DGP_F,디지털인쇄 합산형F 썬캡(미출시),합산형,용지비+인쇄비+커팅비(미출시),4,1,Y,N,개선
PRF_BIND_SUM,제본 합산형(제본비 구성요소),합산형,책자 제본비=[수량][제본종류] 구성요소,1,4,Y,Y,개선
PRF_FOLD_SUM,접지 합산형(오시+접지 후가공),합산형,카드·리플렛 접지비=[제작수량] 구성요소,1,1,Y,Y,개선
PRF_POSTER_FIXED,포스터사인 완제품가(통가격),단순형,소재·사이즈·수량별 완제품가(출력+코팅+가공 포함),1,28,Y,Y,개선
PRF_STK_FIXED,스티커 규격/소재/수량별 단가,단순형,[수량][출력매수×소재] 단가 조회,1,3,Y,Y,개선
PRF_NAMECARD_FIXED,명함 면/소재/수량별 단가(용지포함),단순형,[수량][소재×면] 단품가(용지 포함),2,3,Y,Y,개선
PRF_PHOTOCARD_FIXED,포토카드 세트 고정가,단순형,세트당 고정단가(20장 1세트) 일반/투명 분리,2,2,Y,Y,개선
PRF_ENV_MAKING,봉투제작 소재/수량별 단가,단순형,[수량][소재] 완제품가,1,1,Y,Y,개선
PRF_GANGPAN_FIXED,합판도무송 사이즈/소재/수량별 단가,단순형,[수량][사이즈×소재] 단가,1,1,Y,Y,개선
PRF_PCB_FIXED,엽서북 사이즈/면/페이지/수량별 단가,단순형,[수량][사이즈·면·페이지 옵션] 단가,2,1,Y,Y,개선
PRF_TTEOKME_FIXED,떡메모지 사이즈/권당장수/장수별 단가,단순형,[수량][사이즈·권당장수·장수] 단가,1,0,N,Y,결함
