system,group,screen_id,screen_name,role,function,work_type,counterpart,direction,owner_side,plan_row_id,status,evidence
pagebuilder,가이드북,pc-guidebook-file-bind,가이드 파일의 페이지빌더 바인딩,시스템(무인),api/w/v1/guides 파일 목록을 동적 페이지 블록에 바인딩,integrate,webadmin,pagebuilder→webadmin,webadmin,STD-CAT-020,미확인,raw/webadmin/webadmin/config/urls.py:281 · _workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:85-96 (data-proxy 허용 도메인 미공개라 연결 가부 판정 불가)
pagebuilder,가이드북,pc-guidebook-file-source,작업가이드 파일 원천 경계,시스템(무인),가이드 파일 실체는 webadmin S3 업로드·관리 — 소비자는 자사몰 웹서버(pagebuilder 경유 아님),integrate,webadmin,webadmin→huni-mall,webadmin,STD-ADC-014,미확인,raw/webadmin/webadmin/config/urls.py:72-89 · raw/webadmin/webadmin/catalog/widget_api.py:6003-6012 (「소비자가 브라우저가 아니라 자사몰 웹서버」 — Pie Canvas 소비 근거 0건)
pagebuilder,가이드북,pc-guidebook-tab-content,디자인가이드 본문 콘텐츠,운영자(CS·상품),가이드 본문(뼈대·문구)을 Pie Canvas 페이지에서 편집,config,,,,STD-INF-007,미착수,_workspace/huni-page-compose/99_proposal/report.html:554 · 01_recon/pie-canvas-surface-recon.md:52 (사이트 페이지 「디자인가이드」)
pagebuilder,게시·운영,pc-publish,미리보기·게시,운영자(CS·상품),게시 스냅샷 공개(공개 페이지는 마지막 스냅샷만 노출),provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:80 · 99_proposal/proposal.md:151
pagebuilder,게시·운영,pc-site-json-backup,사이트 전체 JSON 조회,시스템(무인),GET /api/sites/{host} — 백업·감사·마이그레이션 원천,integrate,webadmin,pagebuilder→webadmin,pagebuilder,NEW,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:383 (NEW — 인증 영역이라 게이트 재실측 실패 06_gate/gate-verdict.md:16)
pagebuilder,게시·운영,pc-template-export,페이지·사이트를 템플릿으로 저장,운영자(CS·상품),.template.json 무손실 내보내기(id·userId·host 제거),provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:326-334 · :360-372
pagebuilder,게시·운영,pc-template-gallery,템플릿 갤러리,운영자(CS·상품),파트너사가 서버에 심은 템플릿 선택 — 후니는 갤러리에 추가 불가,provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:300-322
pagebuilder,게시·운영,pc-template-import,내 템플릿 가져오기,운영자(CS·상품),.template.json 가져오기 — 브라우저 localStorage 20개 상한(계정 동기화 아님),provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:335-346 · :375-380
pagebuilder,동적 페이지·콘텐츠 모델,pc-content-field,콘텐츠 필드 편집(타입 22종),운영자(CS·상품),Label·Key·Type·Required·Help·Options 정의,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:255-277
pagebuilder,동적 페이지·콘텐츠 모델,pc-content-model,콘텐츠 모델 만들기,운영자(CS·상품),모델+콘텐츠 뷰+page.dynamic 동시 생성,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:198 · :210-221
pagebuilder,동적 페이지·콘텐츠 모델,pc-content-view,콘텐츠 뷰(표·보드·캘린더),운영자(CS·상품),저장 뷰 정의 + 여러 페이지에서 재사용,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:219 · :388
pagebuilder,동적 페이지·콘텐츠 모델,pc-dynamic-page,동적 페이지 설정(routePattern),운영자(CS·상품),페이지 1개로 URL N개 생성 — 상품별 복제 제거,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:38-56 · :199-201
pagebuilder,동적 페이지·콘텐츠 모델,pc-entry-add,콘텐츠 항목 추가,운영자(CS·상품),상품 1개 = 항목 1행 등록(slug·status),config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:202-206
pagebuilder,동적 페이지·콘텐츠 모델,pc-entry-export,콘텐츠 항목 JSON·CSV 내보내기,운영자(CS·상품),항목 양방향 반출,provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:385
pagebuilder,동적 페이지·콘텐츠 모델,pc-entry-import,콘텐츠 항목 CSV·JSON 일괄 가져오기,운영자(CS·상품),상품마스터 CSV로 N건 일괄 등록(전부 draft 진입),config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:225-244
pagebuilder,동적 페이지·콘텐츠 모델,pc-entry-status,항목 상태 전환(초안·예약·공개·보관),운영자(CS·상품),검수 후 일괄 공개 전환,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:205-207
pagebuilder,동적 페이지·콘텐츠 모델,pc-entry-version,항목 버전·직전 버전 복원,운영자(CS·상품),버전 N·이전 기록 M개 표시 + 1단계 롤백,provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:279-281
pagebuilder,동적 페이지·콘텐츠 모델,pc-template-binding,템플릿 값 바인딩({{entry.필드}}),운영자(CS·상품),템플릿 텍스트를 공개 항목 값으로 치환,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:248-252
pagebuilder,블록 편집,pc-block-backlink,백링크 패널,운영자(CS·상품),현재 대상을 참조하는 블록 위치 역추적,provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:120
pagebuilder,블록 편집,pc-block-external,외부 콘텐츠(임베드) 블록,운영자(CS·상품),허용 HTTPS만 iframe 임베드 — 갤러리·리뷰 병합의 유일 경로,config,,,,STD-SYS-021,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:74 · 허용 도메인 정책 미공개(_workspace/huni-page-compose/99_proposal/proposal.md:171 S1)
