system,group,screen_id,screen_name,role,function,work_type,counterpart,direction,owner_side,plan_row_id,status,evidence
webadmin,상품,product_viewer,상품 뷰어,운영자(CS·상품),좌측 상품 트리 카테고리별 그룹 렌더·상품명/코드 검색 좁히기,build,,,,STD-ADP-010,완료,raw/webadmin/webadmin/config/urls.py:347
webadmin,상품,product_viewer,상품 뷰어,운영자(CS·상품),선택 상품의 우측 상세(옵션·추가상품 템플릿·제약 전체 구성) 조회,build,,,,STD-ADP-010,완료,raw/webadmin/webadmin/config/urls.py:365
webadmin,상품,product_viewer,상품 뷰어,운영자(CS·상품),사이즈 섹션 편집 — 규격목록·기본여부·표시순서·사이즈별 최소/최대 수량·증분·셋트 구성원 적용완제품사이즈 짝 저장,build,,,,STD-ADP-001,완료,raw/webadmin/tools/manual_content.py:262
webadmin,상품,product_viewer,상품 뷰어,운영자(CS·상품),도수/인쇄옵션 섹션 편집 — 사용 인쇄옵션 선택·고객 표시명 지정,build,,,,STD-ADP-004,완료,raw/webadmin/tools/manual_content.py:275
webadmin,상품,product_viewer,상품 뷰어,운영자(CS·상품),판형 섹션 편집 — 완제품 사이즈별 인쇄판·출력파일/용지유형·기본판형 지정,build,,,,STD-ADP-007,완료,raw/webadmin/tools/manual_content.py:278
webadmin,상품,product_viewer,상품 뷰어,운영자(CS·상품),자재 섹션 편집 — 자재·용도·기본여부·고객선택여부 지정,build,,,,STD-ADP-002,완료,raw/webadmin/tools/manual_content.py:281
webadmin,상품,product_viewer,상품 뷰어,운영자(CS·상품),공정 섹션 편집 — 상품별 공정 연결·필수여부·공정별 상세입력 최소/최대 범위,build,,,,STD-ADP-005,완료,raw/webadmin/tools/manual_content.py:284
webadmin,상품,product_viewer,상품 뷰어,운영자(CS·상품),묶음수 섹션 편집 — 낱장·10매·100매 등 판매 묶음 단위 등록,build,,,,STD-OPT-041,완료,raw/webadmin/tools/manual_content.py:289
webadmin,상품,product_viewer,상품 뷰어,운영자(CS·상품),추가상품 섹션 편집 — 이 상품에 끼워 팔 추가상품 템플릿 지정,build,,,,STD-ADP-020,완료,raw/webadmin/tools/manual_content.py:290
webadmin,상품,product_viewer,상품 뷰어,운영자(CS·상품),페이지룰 섹션 편집 — 책자류 인쇄옵션별 페이지 최소·최대·증분,build,,,,STD-OPT-041,완료,raw/webadmin/tools/manual_content.py:291
