prd_cd,prd_nm,axis,allowed_value,authority_sheet,authority_row,confirm_yn,note
# === 068~071 셋트 미구성 4종 책자 구성요소 경계 (2026-06-29·권위=booklet-l1·시트 빈칸=경계 밖) ===
# --- PRD_000068 중철책자 ---
PRD_000068,중철책자,사이즈,A5 (148 x 210 mm),booklet-l1,r3,N,
PRD_000068,중철책자,사이즈,A4 (210 x 297 mm),booklet-l1,r4,N,
PRD_000068,중철책자,내지종이,*별도설정(MES통합관리),booklet-l1,r3,Y,CONFIRM-8 자재코드 확정(별도설정)
PRD_000068,중철책자,내지인쇄(도수),양면,booklet-l1,r3,N,
PRD_000068,중철책자,내지페이지,4~28 / +4,booklet-l1,r3,N,★중철 고유 짧은범위(타 책자와 경계 다름)
PRD_000068,중철책자,표지종이,*별도설정,booklet-l1,r3,Y,CONFIRM-8
PRD_000068,중철책자,표지인쇄,단면(A5)/양면(A4),booklet-l1,r3-4,N,
PRD_000068,중철책자,공정(표지코팅),코팅없음,booklet-l1,r3,N,
PRD_000068,중철책자,공정(표지코팅),무광코팅(단면),booklet-l1,r4,N,
PRD_000068,중철책자,공정(표지코팅),유광코팅(단면),booklet-l1,r5,N,
PRD_000068,중철책자,공정(제본),중철제본,booklet-l1,r3,N,COMP_BIND_JUNGCHEOL(라이브 존재·자기 책자만)
PRD_000068,중철책자,수량,2~1000 / +1,booklet-l1,r3,N,
PRD_000068,중철책자,주문방법,업로드,booklet-l1,r3,N,
# --- PRD_000069 무선책자 ---
PRD_000069,무선책자,사이즈,A5 (148 x 210 mm),booklet-l1,r7,N,
PRD_000069,무선책자,사이즈,A4 (210 x 297 mm),booklet-l1,r8,N,
PRD_000069,무선책자,내지종이,*별도설정,booklet-l1,r7,Y,CONFIRM-8
PRD_000069,무선책자,내지인쇄(도수),양면,booklet-l1,r7,N,
PRD_000069,무선책자,내지페이지,24~300 / +2,booklet-l1,r7,N,
PRD_000069,무선책자,표지종이,*별도설정,booklet-l1,r7,Y,CONFIRM-8
PRD_000069,무선책자,표지인쇄,단면(A5)/양면(A4),booklet-l1,r7-8,N,
PRD_000069,무선책자,공정(표지코팅),코팅없음,booklet-l1,r7,N,
PRD_000069,무선책자,공정(표지코팅),무광코팅(단면),booklet-l1,r8,N,
PRD_000069,무선책자,공정(표지코팅),유광코팅(단면),booklet-l1,r9,N,
PRD_000069,무선책자,공정(제본),무선제본,booklet-l1,r7,N,COMP_BIND_MUSEON(라이브 존재)
PRD_000069,무선책자,공정(박/형압),박(없음)/박(있음),booklet-l1,r7-8,N,★무선/PUR 고유 후가공
PRD_000069,무선책자,공정(박/형압),형압(없음)/형압(음각)/형압(양각),booklet-l1,r15-17,N,
PRD_000069,무선책자,옵션(개별포장),개별포장없음/수축포장,booklet-l1,r7-8,N,
PRD_000069,무선책자,수량,2~1000 / +1,booklet-l1,r7,N,
PRD_000069,무선책자,주문방법,업로드,booklet-l1,r7,N,
# --- PRD_000070 PUR책자 ---
PRD_000070,PUR책자,사이즈,A5 (148 x 210 mm),booklet-l1,r21,N,
PRD_000070,PUR책자,사이즈,A4 (210 x 297 mm),booklet-l1,r22,N,
PRD_000070,PUR책자,내지종이,*별도설정,booklet-l1,r21,Y,CONFIRM-8
PRD_000070,PUR책자,내지인쇄(도수),단면(A5),booklet-l1,r21,N,★A5=단면(중철/무선과 경계 다름)
PRD_000070,PUR책자,내지인쇄(도수),양면(A4),booklet-l1,r22,N,
PRD_000070,PUR책자,내지페이지,24~300 / +2,booklet-l1,r21,N,
PRD_000070,PUR책자,표지종이,*별도설정,booklet-l1,r21,Y,CONFIRM-8
PRD_000070,PUR책자,표지인쇄,단면(A5)/양면(A4),booklet-l1,r21-22,N,
PRD_000070,PUR책자,공정(표지코팅),코팅없음,booklet-l1,r21,N,
PRD_000070,PUR책자,공정(표지코팅),무광코팅(단면),booklet-l1,r22,N,
PRD_000070,PUR책자,공정(표지코팅),유광코팅(단면),booklet-l1,r23,N,
PRD_000070,PUR책자,공정(제본),PUR제본,booklet-l1,r21,N,COMP_BIND_PUR(라이브 존재)
PRD_000070,PUR책자,공정(박/형압),박(없음)/박(있음),booklet-l1,r21-22,N,
PRD_000070,PUR책자,공정(박/형압),형압(없음)/형압(음각)/형압(양각),booklet-l1,r29-31,N,
PRD_000070,PUR책자,옵션(개별포장),개별포장없음/수축포장,booklet-l1,r21-22,N,
PRD_000070,PUR책자,수량,2~1000 / +1,booklet-l1,r21,N,
PRD_000070,PUR책자,주문방법,업로드,booklet-l1,r21,N,
# --- PRD_000071 트윈링책자 ---
PRD_000071,트윈링책자,사이즈,A5 (148 x 210 mm) 좌철,booklet-l1,r33,N,
PRD_000071,트윈링책자,사이즈,A5 (210 x 148 mm) 상철,booklet-l1,r34,N,
PRD_000071,트윈링책자,사이즈,A4 (210 x 297 mm),booklet-l1,r35,N,
PRD_000071,트윈링책자,사이즈,A4 (297 x 210 mm),booklet-l1,r36,N,
PRD_000071,트윈링책자,내지종이,*별도설정,booklet-l1,r33,Y,CONFIRM-8
PRD_000071,트윈링책자,내지인쇄(도수),단면(A5)/양면,booklet-l1,r33-34,N,
PRD_000071,트윈링책자,내지페이지,8~100 / +2,booklet-l1,r33,N,★트윈링 고유범위
PRD_000071,트윈링책자,표지종이,*별도설정,booklet-l1,r33,Y,CONFIRM-8
PRD_000071,트윈링책자,표지인쇄,단면/양면 (★표지×2 앞뒤),booklet-l1,r33-34,N,★표지인쇄·코팅비 ×2(068~070과 경계 다름·calc-formula L76-77)
PRD_000071,트윈링책자,공정(표지코팅),코팅없음/무광코팅(단면)/유광코팅(단면),booklet-l1,r33-35,N,
PRD_000071,트윈링책자,공정(제본),트윈링제본,booklet-l1,r33,N,COMP_BIND_TWINRING(라이브 존재)
PRD_000071,트윈링책자,옵션(제본방향),좌철/상철,booklet-l1,r33-34,N,★트윈링 고유
PRD_000071,트윈링책자,옵션(링컬러),화이트링/블랙링/메탈링,booklet-l1,r33-35,N,★트윈링 고유
PRD_000071,트윈링책자,옵션(투명커버),투명커버없음/유광투명커버/무광투명커버,booklet-l1,r33-35,N,★트윈링 고유(SEMI_ROLE.05 투명커버)
PRD_000071,트윈링책자,옵션(개별포장),개별포장없음/수축포장,booklet-l1,r33-34,N,
PRD_000071,트윈링책자,수량,1~1000 / +1,booklet-l1,r33,N,★최소1(068~070은 최소2)
PRD_000071,트윈링책자,주문방법,업로드,booklet-l1,r33,N,
# === 구성원 반제품 경계 (mint 필요·미존재) — 표지=별도설정/내지=별도설정·자재코드 CONFIRM-8 ===
PRD_(mint:중철책자-내지),중철책자-내지,내지종이,*별도설정(부모 내지종이 상속),booklet-l1,r3,Y,page파생공식 PRF_DGP_INNER 동형 바인딩 대상
PRD_(mint:중철책자-표지),중철책자-표지,표지종이,*별도설정,booklet-l1,r3,Y,가격0(부모공식)·생산연결 택1
PRD_(mint:무선책자-내지),무선책자-내지,내지종이,*별도설정,booklet-l1,r7,Y,
PRD_(mint:무선책자-표지),무선책자-표지,표지종이,*별도설정,booklet-l1,r7,Y,가격0(부모공식)
PRD_(mint:PUR책자-내지),PUR책자-내지,내지종이,*별도설정,booklet-l1,r21,Y,
PRD_(mint:PUR책자-표지),PUR책자-표지,표지종이,*별도설정,booklet-l1,r21,Y,가격0(부모공식)
PRD_(mint:트윈링책자-내지),트윈링책자-내지,내지종이,*별도설정,booklet-l1,r33,Y,
PRD_(mint:트윈링책자-표지),트윈링책자-표지,표지종이,*별도설정,booklet-l1,r33,Y,가격0(부모공식·표지×2는 부모공식에서 반영)
