영역,기능,화면경로,관찰필드,로그인필요,상태,IA대조라벨,근거URL
회원,로그인,/login/login.asp,user_id·user_pwd(이미지 submit·action=login_ok.asp),N,발견,회원/인증,https://www.huniprinting.com/login/login.asp
회원,로그아웃,/login/logout.asp,세션종료,Y,발견,회원/인증,https://www.huniprinting.com/login/logout.asp
회원,회원가입 진입,/join/intro.asp,로그인상태 main 리다이렉트(폼 미접근),N,미접근(로그인상태),회원/가입,https://www.huniprinting.com/join/intro.asp
마이페이지,대시보드,/mypage/main.asp,회원명·회원할인율·이메일·프린팅머니·휴대폰·주문요약·옵션보관 요약,Y,발견,마이페이지/홈,https://www.huniprinting.com/mypage/main.asp
마이페이지,주문조회,/mypage/order.asp,기간필터(date1_Y/M/D~date2_Y/M/D)·주문내역(인쇄제본),Y,발견(내역0),마이페이지/주문조회,https://www.huniprinting.com/mypage/order.asp
마이페이지,옵션보관함,/mypage/save.asp,저장된 옵션/견적 목록,Y,발견(내역0),마이페이지/옵션보관함,https://www.huniprinting.com/mypage/save.asp
마이페이지,쿠폰/이용권,/mypage/coupon.asp,쿠폰목록·유효기간·사용조건안내,Y,발견(내역0),마이페이지/쿠폰,https://www.huniprinting.com/mypage/coupon.asp
프린팅머니,프린팅머니 조회,/mypage/money.asp,현재 사용가능 금액(잔액)·적립/사용 내역,Y,발견(잔액0·내역0),마이페이지/프린팅머니,https://www.huniprinting.com/mypage/money.asp
마이페이지,나의 상품Q&A,/mypage/qna.asp,상품문의 글 목록,Y,발견(글0),마이페이지/상품Q&A,https://www.huniprinting.com/mypage/qna.asp
마이페이지,1:1 문의,/mypage/pqna.asp,1:1문의 글 목록,Y,발견(글0),마이페이지/1:1문의,https://www.huniprinting.com/mypage/pqna.asp
마이페이지,나의 이용후기,/mypage/review.asp,작성 리뷰 목록,Y,발견(0),마이페이지/이용후기,https://www.huniprinting.com/mypage/review.asp
마이페이지,체험단 활동내역,/mypage/challenge.asp,체험단 신청/활동 내역,Y,발견(0),마이페이지/체험단,https://www.huniprinting.com/mypage/challenge.asp
회원,회원정보수정,/mypage/modify.asp,비번·이메일·뉴스레터수신·주소(우편번호/도로명/상세/지번)·전화·휴대폰(SMS인증)·SMS수신·직업·회사명·사업자번호·대표자·업태/업종·회사주소1/2·회사전화/팩스,Y,발견,회원/정보수정,https://www.huniprinting.com/mypage/modify.asp
회원,비밀번호변경,/mypage/password.asp,현재비번·새비번(6~20자)·비번확인,Y,발견,회원/비밀번호,https://www.huniprinting.com/mypage/password.asp
회원,증빙서류발급,/mypage/tax01.asp,현금영수증/세금계산서 발행가능여부(결제수단별),Y,발견(내역0),마이페이지/증빙서류,https://www.huniprinting.com/mypage/tax01.asp
회원,회원탈퇴,/mypage/out.asp,아이디·비밀번호·이름·이메일·휴대전화·탈퇴사유,Y,발견(미제출),회원/탈퇴,https://www.huniprinting.com/mypage/out.asp
상품,카테고리 상품리스트,/product/list.asp?pcode=N,상품 썸네일 그리드(→상세),N,발견,상품/리스트,https://www.huniprinting.com/product/list.asp?pcode=1
상품,견적형 주문,/product/goods.asp?pcode=N,사이즈(tmp_width/height)·옵션 select 다수·수량 input·가격계산,N,발견,상품/견적주문,https://www.huniprinting.com/product/goods.asp?pcode=72
상품,카탈로그형 상세,/goods/view.asp?pcode=N,수량(qty) 위주 옵션,N,발견,상품/상세,https://www.huniprinting.com/goods/view.asp?pcode=98
상품,패키지/셋트 상세,/package/view.asp?pcode=N,패키지 구성,N,발견,상품/패키지,https://www.huniprinting.com/package/view.asp?pcode=1
상품,디자인 의뢰,/design/sangsang.asp?pcode=N,디자인 의뢰(상상),N,발견,상품/디자인의뢰,https://www.huniprinting.com/design/sangsang.asp?pcode=34
고객센터,고객센터 홈,/customer/main.asp,공지/FAQ/Q&A/문의 진입,N,발견,고객센터/홈,https://www.huniprinting.com/customer/main.asp
고객센터,공지사항,/customer/notice.asp,공지 목록(상세 notice_view.asp?idx=N),N,발견,고객센터/공지,https://www.huniprinting.com/customer/notice.asp
고객센터,FAQ,/customer/faq.asp,자주묻는질문,N,발견,고객센터/FAQ,https://www.huniprinting.com/customer/faq.asp
고객센터,상품 Q&A,/customer/qna.asp,묻고답하기,N,발견,고객센터/QA,https://www.huniprinting.com/customer/qna.asp
고객센터,1:1/견적 문의,/customer/inquery.asp,문의 작성,N,발견,고객센터/문의,https://www.huniprinting.com/customer/inquery.asp
고객센터,회사/대량 문의(추정),/customer/comqna.asp,라벨 미확정,N,발견(라벨추정),고객센터/문의,https://www.huniprinting.com/customer/comqna.asp
고객센터,디자인 의뢰 문의(추정),/customer/dgnqna.asp,라벨 미확정,N,발견(라벨추정),고객센터/문의,https://www.huniprinting.com/customer/dgnqna.asp
고객센터,주문제작 문의(추정),/customer/order.asp,라벨 미확정,N,발견(라벨추정),고객센터/문의,https://www.huniprinting.com/customer/order.asp
보조,종이샘플,GNB 우측,샘플 신청 진입,N,미발견(URL),보조/샘플,https://www.huniprinting.com/main.asp
보조,제본샘플,GNB 우측,샘플 신청 진입,N,미발견(URL),보조/샘플,https://www.huniprinting.com/main.asp
보조,작업유의사항,상단 유틸,작업 가이드,N,미발견(URL),보조/가이드,https://www.huniprinting.com/main.asp
보조,카카오 상담 채팅,pf.kakao.com/_ABvcK/chat,외부 채팅,N,발견,보조/상담,http://pf.kakao.com/_ABvcK/chat
