L0,L1,L2,process_id,process_name,step_no,step,row_id,기능,시스템,담당자,상태,원장판정,근거,cross,원장전용
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,가입(원장전용),P01,회원가입(이메일 식별자),1,0. 로그인 식별자 정책 확정(선행),STD-MEM-022,로그인 식별자 정책(이메일 전용 vs 아이디) 확정·테스트회원 계정 정비,결정(PM·지니),김동학,미착수,재배정,https://shopby.huniprinting.co.kr/login 테스트회원 ID 입력 → 「올바른 이메일 형식이 아닙니다」 @ 2026-09-16 21:30,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,가입,P01,회원가입(이메일 식별자),2,1. 약관 동의·전체동의,STD-MEM-002,약관 동의·전체동의,huni-mall,김동학,부분,담당맞음,"[L4b보강] huni-skin-shopby/src/components/auth/signup-form.tsx:24-25,75-76",,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,가입,P01,회원가입(이메일 식별자),3,2. 만 14세 미만 가입 제한,STD-MEM-004,14세 미만 가입 제한,huni-mall,김동학,작동,담당맞음,https://shopby.huniprinting.co.kr/signup@2026-09-16 21:27,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,가입,P01,회원가입(이메일 식별자),4,3. 휴대전화 본인인증(SMS/PASS),STD-MEM-003,휴대전화 본인인증(SMS/PASS),huni-mall → 샵바이,김동학,부분,담당맞음,SB-043 absent(인증 SDK·API 호출 지점 0건) · L2 service-dependency D-17 endpoint='(호출 지점 없음)',,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,가입,P01,회원가입(이메일 식별자),5,4. 1인 1계정 중복가입 제한,STD-MEM-005,1인 1계정 중복가입 제한,샵바이,김동학,부분,담당맞음,huni-skin-shopby/src/app/api/auth/signup/route.ts:8-33,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,가입,P01,회원가입(이메일 식별자),6,5. 회원가입 생성,STD-MEM-001,회원가입(이메일 식별자),huni-mall → 샵바이,김동학,작동,담당맞음,https://shopby.huniprinting.co.kr/signup@2026-09-16 21:33,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,가입(원장전용),P01,회원가입(이메일 식별자),7,6. 가입완료 안내 메일 발송,STD-MEM-021,가입완료 안내 메일 발송,샵바이,최숙진,미착수,provided,https://shopby.huniprinting.co.kr/signup 2단계(정보입력) @ 2026-09-16 21:33,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,가입,P01,회원가입(이메일 식별자),8,7. 가입완료 혜택 자동지급(쿠폰+적립금),STD-MEM-006,가입완료 혜택 자동지급(쿠폰+적립금),샵바이,최숙진,미착수,담당맞음,print-kb/wiki/policy/membership-auth.md#MEM-07 · L4 사유: L2 인벤토리에 가입완료 혜택 지급 행 없음. X-SHOPBY-NATIVE-01 가입완료 메일 native 범위 미확인.,프로모션 P19(쿠폰 발행)와 맞물림 — 같은 카드 t62 안,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,로그인(원장전용),P02,소셜 로그인 가입·연결,1,0. 간편로그인 앱 등록·Redirect URI 등록(전제),STD-MEM-023,소셜 로그인 전제 설정 — 셀러어드민 간편로그인 앱(네이버·카카오·구글) 등록 + 각 개발자센터 Redirect URI `{origin}/oauth/callback` 등록,운영자(셀러어드민·제공자 개발자센터),최숙진,미착수,담당맞음,commit 13ed106 본문 「⚠ 동작 전제(코드 외)」 · huni-skin-shopby/src/components/auth/sns-buttons.tsx:66-67,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,로그인,P02,소셜 로그인 가입·연결,2,1. 카카오 소셜 로그인,STD-MEM-010,카카오 소셜 로그인,huni-mall,김동학,부분,담당맞음,SB-041 stub — huni-skin-shopby/src/components/auth/sns-buttons.tsx:74-80 (토스트만·signIn 미호출) · D-16 providers 빈 배열,,N
