confirm_id,group,target,issue,authority_status,proposed_options,blocking_reason,priority
P1-A,P1 면지 재배선,"product_materials 14행(072·077·082·088) mat_cd=면지4종(MAT_000001~004)","면지 색상(화이트/블랙/그레이/인쇄)을 어느 실 종이(mat_cd)로 재배선할지","권위 booklet 제본(옵션)_면지(옵션)=색상 택1 옵션값·종이 종류 미특정","(a) 면지 색상별 실제 종이 mat_cd 지정 후 14행 재배선 / (b) 면지를 CPQ 옵션으로 이관(P1-B)","권위가 면지 종이를 특정하지 않음·추측 금지·search-before-mint(신규 종이 mint 금지)",High
P1-B,P1 면지 옵션화,"셋트 4상품 면지 색상 표현","면지=색상 옵션값인데 자재로 박힘·CPQ option_items 미등록(0건)","권위=옵션값·USAGE.03 용도는 정확","면지를 product_materials에서 빼고 t_prd_product_option_items로 표현(셋트 옵션 설계 트랙)","CPQ 옵션 재설계는 자재 교정 범위 밖·셋트 옵션 설계 트랙 의존",High
P1-C,P1 면지 자재 논리삭제,"MAT_000001~004 del_yn Y","면지 자재 4종 논리삭제 여부","가격참조0=안전·단 배선 살아있으면 FK_DEAD 자가재생산","P1-A/B 처리 후 배선 정리 완료 시 del_yn=Y 논리삭제","P1-A·P1-B 선행 의존(배선 먼저)",Medium
P2-3,P2 포토북 표지타입,"PRD_000100 mat_cd=MAT_000005 하드커버 USAGE.02","표지타입(하드커버)을 표지 자재로 박음·자재 사멸·표지종이 MAT_000250 OK행 별존","photobook 표지타입(필수)=USAGE.06 옵션 의미·표지종이사양=아트250+무광코팅(MAT_000250 살아있음)","(a) 배선행 논리삭제(중복 표지 제거) + (b) 표지타입을 CPQ 옵션(USAGE.06)으로 재표현","표지타입 CPQ 재표현 동반 필요·셋트 옵션 설계 트랙",Medium
P2-4,P2 포토북 표지타입,"PRD_000100 mat_cd=MAT_000007 소프트커버 USAGE.02","표지타입(소프트커버)을 표지 자재로 박음·자재 사멸","photobook 표지타입=USAGE.06·표지종이=MAT_000250 별존","배선행 논리삭제 + 표지타입 옵션 재표현","P2-3와 동일",Medium
P2-5,P2 포토북 표지타입,"PRD_000100 mat_cd=MAT_000006 레더하드커버 USAGE.02","표지타입(레더하드커버)을 표지 자재로 박음·자재 사멸·표지종이 MAT_000186 레더(화이트) OK행 별존","photobook 표지타입=USAGE.06·표지종이사양=레더(MAT_000186 살아있음)","배선행 논리삭제 + 표지타입 옵션 재표현","P2-3와 동일",Medium
P2-6,P2 포토북 면지,"PRD_000100 mat_cd=MAT_000251 그레이 USAGE.03","면지(그레이)를 자재로 박음·자재 사멸","photobook 제본사양_면지=그레이=면지 색상 옵션값·종이 미특정","P1-A와 동일(면지 종이 특정 후 재배선 or 옵션화)","P1-A와 동일(면지 종이 미특정)",High
P2-X,P2 전용지 코팅 변형,"MAT_000246 전용지 vs MAT_000172 하드커버전용지+무광코팅","표지종이 재배선을 부활(246)로 할지 코팅변형(172)으로 할지","booklet 표지종이=단순 '전용지'(코팅 미명시)·photobook=아트250+무광코팅(별건)","(권장) MAT_000246 부활[apply.sql 채택] / (대안) MAT_000172로 재배선","코팅 여부 권위 미특정·apply.sql은 의미최충실=246 부활 채택(이미 실행)",Low
P3-B,P3 비종이 root 부활,"투명커버(MAT_000009)·아크릴(036)·D링(017)·아크릴부자재(045)","사용자 '출력소재 13개'와 출력소재(종이) 엄격정의 9개 불일치","dead_root_live_children=13개이나 MAT_TYPE.01 종이는 9개·나머지4=부자재/소재 root","(a) 4개도 부활(계층 복구) / (b) 출력소재(종이) 9개만 부활[apply.sql 채택]","'출력소재'정의 경계·사용자 의도 확인 필요",Medium
P3-C,P3 NO_ROOT 평량종이,"upr_mat_cd NULL 평량종이 31건(스타드림7·큐리어스스킨5·고유브랜드지 등)","평량변형인데 root 미연결","대부분 매칭 root 부재(스타드림/큐리어스스킨 root 없음)·일부 모호(아트250+무광코팅↔아트 root)","매칭 root 명시 후 upr_mat_cd 연결 / root 부재분은 신규 root는 인간 승인(search-before-mint)","이름 매칭 모호·신규 root mint=search-before-mint 위반·추측 금지",Low
P3-D,P3 자식0 dead_root,"볼체인(024)·굿즈부속(058)·파우치(061)·모조(157)·유포(152)·레더하드커버A(173)","dead_root이나 활성 자식 0","부활 정당성(자식 계층 복구)이 없음","부활 보류(보고만)·실제 사용처 확인 후 결정","활성 자식 없어 부활 근거 부재",Low
P3-X,P3 root 그룹핑 의미,"부활 9 root의 sel_typ_cd=SEL_TYPE.01(단일)","root는 그룹핑 노드인데 단일선택값 보유","SEL_TYPE에 비선택 코드 없음(01단일/02다중)","현 분석=부작용 없음(root는 product에 미배선)·그룹핑 명시 필요 시 별도 설계","설계 옵션(부활은 무해 판정)",Low
</content>
