comp_cd,comp_nm,note,comp_typ_cd,use_yn
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,투명 아크릴 3T 인쇄·가공 포함가. 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.01,Y
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,,PRC_COMPONENT_TYPE.01,Y
COMP_ACRYL_MIRROR3T,미러아크릴3T 인쇄가공비,미러 아크릴 3T 인쇄·가공 포함가. 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.01,Y
COMP_BIND_CAL_DESK130,제본비(후가공) [COMP_BIND_CAL_DESK130],제본 가공비(후가공). 제본 종류·수량별 단가표.,PRC_COMPONENT_TYPE.04,Y
COMP_BIND_CAL_DESK220,제본비(후가공) [COMP_BIND_CAL_DESK220],제본 가공비(후가공). 제본 종류·수량별 단가표.,PRC_COMPONENT_TYPE.04,Y
COMP_BIND_CAL_DESKMINI,제본비(후가공) [COMP_BIND_CAL_DESKMINI],제본 가공비(후가공). 제본 종류·수량별 단가표.,PRC_COMPONENT_TYPE.04,Y
COMP_BIND_CAL_WALL,캘린더 제본비,"제본 가공비(캘린더 벽걸이제본, 캘린더130, 캘린더 220, 미니)",PRC_COMPONENT_TYPE.04,Y
COMP_BIND_HC_MUSEON,제본비(후가공) [COMP_BIND_HC_MUSEON],제본 가공비(후가공). 제본 종류·수량별 단가표.,PRC_COMPONENT_TYPE.04,Y
COMP_BIND_HC_TWINRING,제본비(후가공) [COMP_BIND_HC_TWINRING],제본 가공비(후가공). 제본 종류·수량별 단가표.,PRC_COMPONENT_TYPE.04,Y
COMP_BIND_JUNGCHEOL,제본비(후가공) [COMP_BIND_JUNGCHEOL],제본 가공비(후가공). 제본 종류·수량별 단가표.,PRC_COMPONENT_TYPE.04,Y
COMP_BIND_MUSEON,제본비(후가공) [COMP_BIND_MUSEON],제본 가공비(후가공). 제본 종류·수량별 단가표.,PRC_COMPONENT_TYPE.04,Y
COMP_BIND_PUR,제본비(후가공) [COMP_BIND_PUR],제본 가공비(후가공). 제본 종류·수량별 단가표.,PRC_COMPONENT_TYPE.04,Y
COMP_BIND_SSABARI,하드커버 제본비,"하드커버 제본비 (싸바리바인더, 하드커버 무선, 하드커버 트윈링)",PRC_COMPONENT_TYPE.04,Y
COMP_BIND_TWINRING,제본비,"제본비 (무선, 중철, 트윈링, PUR)",PRC_COMPONENT_TYPE.04,Y
