prd_cd,prd_nm,opt_group,opt,opt_item(ref해소),U태깅,기준정보중복여부,가격종속여부,처분,근거,돈영향
PRD_000016,프리미엄엽서,오시,1줄,공정:PROC_000029(오시),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 오시,
PRD_000016,프리미엄엽서,오시,2줄,공정:PROC_000029(오시),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 오시,
PRD_000016,프리미엄엽서,오시,3줄,공정:PROC_000029(오시),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 오시,
PRD_000016,프리미엄엽서,미싱,1줄,공정:PROC_000030(미싱),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 미싱,
PRD_000016,프리미엄엽서,미싱,2줄,공정:PROC_000030(미싱),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 미싱,
PRD_000016,프리미엄엽서,미싱,3줄,공정:PROC_000030(미싱),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 미싱,
PRD_000016,프리미엄엽서,가변텍스트,1개,공정:PROC_000031(가변텍스트),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 가변텍스트,
PRD_000016,프리미엄엽서,가변텍스트,2개,공정:PROC_000031(가변텍스트),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 가변텍스트,
PRD_000016,프리미엄엽서,가변텍스트,3개,공정:PROC_000031(가변텍스트),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 가변텍스트,
PRD_000016,프리미엄엽서,가변이미지,1개,공정:PROC_000032(가변이미지),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 가변이미지,
PRD_000016,프리미엄엽서,가변이미지,2개,공정:PROC_000032(가변이미지),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 가변이미지,
PRD_000016,프리미엄엽서,가변이미지,3개,공정:PROC_000032(가변이미지),U-3(후가공 공정→생산/가격),Y-트리거정합(공정 3/3),Y,KEEP,후가공 공정 선택 옵션 ref .04→proc_cd 환원(product_processes 공존=설계 정합). 가변이미지,
PRD_000016,프리미엄엽서,인쇄,단면,도수:1,U-3(도수 선택→인쇄비),Y-트리거정합(도수),Y,KEEP,도수(단/양면·칼라) 선택 옵션 ref .06→print_opt_cd 환원. product_print_options와 공존은 설계 정합,
PRD_000016,프리미엄엽서,인쇄,양면,도수:2,U-3(도수 선택→인쇄비),Y-트리거정합(도수),Y,KEEP,도수(단/양면·칼라) 선택 옵션 ref .06→print_opt_cd 환원. product_print_options와 공존은 설계 정합,
PRD_000016,프리미엄엽서,종이,백색모조지 220g,자재:MAT_000074(백색모조지 220g),U-3(자재 선택→생산+가격),Y-트리거정합(21/21),Y,KEEP,"자재 선택 옵션(택1 필수)=CPQ 선택 기제. ref .03→mat_cd 환원, fn_chk_opt_item_ref로 baseline 실재 강제(설계상 공존 필수, 잉여중복 아님)",
PRD_000016,프리미엄엽서,종이,아트지 300g,자재:MAT_000082(아트지 300g),U-3(자재 선택→생산+가격),Y-트리거정합(21/21),Y,KEEP,"자재 선택 옵션(택1 필수)=CPQ 선택 기제. ref .03→mat_cd 환원, fn_chk_opt_item_ref로 baseline 실재 강제(설계상 공존 필수, 잉여중복 아님)",
PRD_000016,프리미엄엽서,종이,스노우지 300g,자재:MAT_000092(스노우지 300g),U-3(자재 선택→생산+가격),Y-트리거정합(21/21),Y,KEEP,"자재 선택 옵션(택1 필수)=CPQ 선택 기제. ref .03→mat_cd 환원, fn_chk_opt_item_ref로 baseline 실재 강제(설계상 공존 필수, 잉여중복 아님)",
PRD_000016,프리미엄엽서,종이,랑데뷰 WH 240g,자재:MAT_000101(랑데뷰 WH 240g),U-3(자재 선택→생산+가격),Y-트리거정합(21/21),Y,KEEP,"자재 선택 옵션(택1 필수)=CPQ 선택 기제. ref .03→mat_cd 환원, fn_chk_opt_item_ref로 baseline 실재 강제(설계상 공존 필수, 잉여중복 아님)",
PRD_000016,프리미엄엽서,종이,몽블랑 240g,자재:MAT_000109(몽블랑 240g),U-3(자재 선택→생산+가격),Y-트리거정합(21/21),Y,KEEP,"자재 선택 옵션(택1 필수)=CPQ 선택 기제. ref .03→mat_cd 환원, fn_chk_opt_item_ref로 baseline 실재 강제(설계상 공존 필수, 잉여중복 아님)",
