prd_cd,proc_cd,excl_grp_cd,mand_proc_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000018,PROC_000029,,N,10,2026-06-05 00:00:00,,L1:스탠다드엽서 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000018,PROC_000030,,N,11,2026-06-05 00:00:00,,L1:스탠다드엽서 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000018,PROC_000031,,N,12,2026-06-05 00:00:00,,L1:스탠다드엽서 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000018,PROC_000032,,N,13,2026-06-05 00:00:00,,L1:스탠다드엽서 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000041,PROC_000029,,N,10,2026-06-05 00:00:00,,L1:스탠다드 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000041,PROC_000030,,N,11,2026-06-05 00:00:00,,L1:스탠다드 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000041,PROC_000031,,N,12,2026-06-05 00:00:00,,L1:스탠다드 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000041,PROC_000032,,N,13,2026-06-05 00:00:00,,L1:스탠다드 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000042,PROC_000029,,N,10,2026-06-05 00:00:00,,L1:프리미엄 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000042,PROC_000030,,N,11,2026-06-05 00:00:00,,L1:프리미엄 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000042,PROC_000031,,N,12,2026-06-05 00:00:00,,L1:프리미엄 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000042,PROC_000032,,N,13,2026-06-05 00:00:00,,L1:프리미엄 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000027,PROC_000031,,N,10,2026-06-05 00:00:00,,L1:2단접지카드 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000027,PROC_000032,,N,11,2026-06-05 00:00:00,,L1:2단접지카드 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000029,PROC_000031,,N,10,2026-06-05 00:00:00,,L1:3단접지카드 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000029,PROC_000032,,N,11,2026-06-05 00:00:00,,L1:3단접지카드 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000031,PROC_000031,,N,10,2026-06-05 00:00:00,,L1:프리미엄명함 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000031,PROC_000032,,N,11,2026-06-05 00:00:00,,L1:프리미엄명함 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000033,PROC_000031,,N,10,2026-06-05 00:00:00,,L1:스탠다드명함 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000033,PROC_000032,,N,11,2026-06-05 00:00:00,,L1:스탠다드명함 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000047,PROC_000031,,N,10,2026-06-05 00:00:00,,L1:소량전단지 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000047,PROC_000032,,N,11,2026-06-05 00:00:00,,L1:소량전단지 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000048,PROC_000031,,N,10,2026-06-05 00:00:00,,L1:접지리플렛 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000048,PROC_000032,,N,11,2026-06-05 00:00:00,,L1:접지리플렛 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000049,PROC_000031,,N,10,2026-06-05 00:00:00,,L1:와이드 접지리플렛 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000049,PROC_000032,,N,11,2026-06-05 00:00:00,,L1:와이드 접지리플렛 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
