"gate","scenario","productCode","call_label","check","method","oracle_value","reconstruction_value","verdict","evidence"
"VP-1","NF-ACCEPTANCE","NCCDDFT","baseline (필드없음)","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ACCEPTANCE_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ACCEPTANCE","NCCDDFT","baseline (필드없음)","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-ACCEPTANCE_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ACCEPTANCE","NCCDDFT","baseline (필드없음)","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-ACCEPTANCE_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-ACCEPTANCE","NCCDDFT","PACK_PRN_CNT=0","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+PACK_PRN_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ACCEPTANCE_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ACCEPTANCE","NCCDDFT","PACK_PRN_CNT=0","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-ACCEPTANCE_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ACCEPTANCE","NCCDDFT","PACK_PRN_CNT=0","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-ACCEPTANCE_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-ACCEPTANCE","NCCDDFT","PACK_PRN_CNT=100","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+PACK_PRN_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ACCEPTANCE_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ACCEPTANCE","NCCDDFT","PACK_PRN_CNT=100","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-ACCEPTANCE_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ACCEPTANCE","NCCDDFT","PACK_PRN_CNT=100","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-ACCEPTANCE_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-ACCEPTANCE","NCCDDFT","MAX_PRN_CNT=10000","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+MAX_PRN_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ACCEPTANCE_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ACCEPTANCE","NCCDDFT","MAX_PRN_CNT=10000","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-ACCEPTANCE_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ACCEPTANCE","NCCDDFT","MAX_PRN_CNT=10000","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-ACCEPTANCE_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-ACCEPTANCE","NCCDDFT","수량모델A ladder(MIN_ORD/ADD_ORD/INC)","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+MIN_ORD_PRN_CNT+ADD_ORD_PRN_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ACCEPTANCE_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ACCEPTANCE","NCCDDFT","수량모델A ladder(MIN_ORD/ADD_ORD/INC)","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-ACCEPTANCE_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ACCEPTANCE","NCCDDFT","수량모델A ladder(MIN_ORD/ADD_ORD/INC)","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-ACCEPTANCE_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-ADDCLR","NCCDDFT","SID_S 4clr ADD_CLR=N","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ADDCLR_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ADDCLR","NCCDDFT","SID_S 4clr ADD_CLR=N","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-ADDCLR_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ADDCLR","NCCDDFT","SID_S 4clr ADD_CLR=N","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-ADDCLR_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-ADDCLR","NCCDDFT","SID_S 4clr ADD_CLR=Y (차등)","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ADDCLR_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ADDCLR","NCCDDFT","SID_S 4clr ADD_CLR=Y (차등)","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-ADDCLR_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ADDCLR","NCCDDFT","SID_S 4clr ADD_CLR=Y (차등)","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-ADDCLR_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-ADDCLR","NCCDDFT","SID_D 8clr ADD_CLR=N","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ADDCLR_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ADDCLR","NCCDDFT","SID_D 8clr ADD_CLR=N","result_sum.PRICE 매핑","differential-response","15900","mapPriceResponse.finalPrice=15900","PASS","NF-ADDCLR_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ADDCLR","NCCDDFT","SID_D 8clr ADD_CLR=N","PRICE!=0 sanity","golden-read","15900",">0","PASS","NF-ADDCLR_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-ADDCLR","NCCDDFT","SID_D 8clr ADD_CLR=Y (차등)","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ADDCLR_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ADDCLR","NCCDDFT","SID_D 8clr ADD_CLR=Y (차등)","result_sum.PRICE 매핑","differential-response","15900","mapPriceResponse.finalPrice=15900","PASS","NF-ADDCLR_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ADDCLR","NCCDDFT","SID_D 8clr ADD_CLR=Y (차등)","PRICE!=0 sanity","golden-read","15900",">0","PASS","NF-ADDCLR_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-FLD-DFT","NCCDDFT","후가공 없음 (baseline)","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-FLD-DFT_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-FLD-DFT","NCCDDFT","후가공 없음 (baseline)","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-FLD-DFT_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-FLD-DFT","NCCDDFT","후가공 없음 (baseline)","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-FLD-DFT_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-FLD-DFT","NCCDDFT","FLD_DFT 2단접지 FO006","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-FLD-DFT_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-FLD-DFT","NCCDDFT","FLD_DFT 2단접지 FO006","result_sum.PRICE 매핑","differential-response","29700","mapPriceResponse.finalPrice=29700","PASS","NF-FLD-DFT_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-FLD-DFT","NCCDDFT","FLD_DFT 2단접지 FO006","PRICE!=0 sanity","golden-read","29700",">0","PASS","NF-FLD-DFT_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-FLD-DFT","NCCDDFT","FLD_DFT 3단접지 FO007","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-FLD-DFT_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-FLD-DFT","NCCDDFT","FLD_DFT 3단접지 FO007","result_sum.PRICE 매핑","differential-response","29700","mapPriceResponse.finalPrice=29700","PASS","NF-FLD-DFT_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-FLD-DFT","NCCDDFT","FLD_DFT 3단접지 FO007","PRICE!=0 sanity","golden-read","29700",">0","PASS","NF-FLD-DFT_NCCDDFT.json result_sum.PRICE"
