gap_id,process_id,process_name,대분류,종류,종류설명,내용,제안담당,선행
G-t65-001,P01,주문 취소 신청·승인,클레임·CS,나,나 — 행은 있는데 코드 0,huni-mall 에 취소 신청 화면·호출이 없다 — `src/app/(main)` 하위 라우트는 cart·checkout·company·guest-order·guide·location·mypage·notice·order-complete·privacy·search·shop·terms 13개뿐이고 claim/cancel 라우트가 없다. 마이페이지 컴포넌트 18개에도 클레임 섹션이 없다. 샵바이 Shop API 쪽은 `POST /profile|guest/orders/{orderNo}/claims/cancel` 과 `POST /profile|guest/order-options/{orderOptionNo}/claims/cancel` 이 회원·비회원 대칭으로 다 있다.,김동학,없음 — 바로 착수 가능
G-t65-002,P01,주문 취소 신청·승인,클레임·CS,다,다 — 코드는 있는데 연결 안 됨,"`mypage-shared.tsx:165-166` 의 `cancel_req`/`cancel_done` 은 「주문취소」 글자가 붙은 **상태 칩**이고, 그 카드 전체가 주문 상세를 여는 버튼이라 취소 신청 동작이 걸려 있지 않다. `use-my-orders.ts:117-123` 의 취소처리중·반품처리중·교환대기중·교환처리중·취소완료·반품완료·교환완료 매핑도 표시 전용이다 — 읽기는 되는데 쓰기가 없다.",김동학,없음 — 바로 착수 가능
G-t65-003,P01,주문 취소 신청·승인,클레임·CS,라,라 — 결정 미정,제작 착수 시점의 정의가 문서에만 있고 시스템 신호가 정해지지 않았다. 「착수」를 MES 작업지시 생성으로 볼지 PitStop 검판 통과로 볼지에 따라 고객이 스스로 취소할 수 있는 구간이 달라진다.,신우진,MES 연동 범위 확정(t64 생산·출고 카드)
G-t65-004,P02,반품·교환 신청·처리,클레임·CS,나,나 — 행은 있는데 코드 0,huni-mall 에 반품·교환 신청 화면이 없다. 샵바이 Shop API 는 `POST /profile|guest/order-options/{orderOptionNo}/claims/return` (단일)·`POST /profile|guest/claims/return`(복수)·`POST /profile|guest/order-options/{orderOptionNo}/claims/exchange` 가 모두 열려 있다.,김동학,없음 — 바로 착수 가능
G-t65-005,P02,반품·교환 신청·처리,클레임·CS,다,다 — 코드는 있는데 연결 안 됨,"반품·교환 **정책 문구**는 이미 고객에게 보이는데(`product-sections.tsx:227-228` 의 「교환/반품」 탭 — ""개별 제작 상품 특성상 제작 접수 이후 단순 변심에 의한 취소·교환·반품은 어렵습니다. 제품 불량·인쇄 오류·파손·오염 시 수령 후 7일 이내 접수해 주세요."") 그 문구가 가리키는 접수 창구가 없다. 문구는 상품 상세 컴포넌트에 하드코딩돼 있어 운영자가 고칠 수도 없다.",김동학,없음 — 바로 착수 가능
G-t65-006,P02,반품·교환 신청·처리,클레임·CS,라,라 — 결정 미정,교환 시 수거한 인쇄물의 처리(폐기·보관·검증 보관기간)와 재제작 비용 부담 주체가 정해지지 않았다.,신우진,P05 재제작 처리 경로 결정
G-t65-007,P03,환불 예상금액 산정·환불계좌·지급,클레임·CS,나,나 — 행은 있는데 코드 0,환불 예상금액 화면과 환불계좌 입력 화면이 huni-mall 에 없다. 샵바이 Shop API 는 `GET /profile|guest/order-options/{no}/claims/estimate`(단일)·`POST /profile|guest/claims/estimate`(복수)·`PUT /profile|guest/claims/{claimNo}/account` 가 다 있다.,김동학,없음 — 바로 착수 가능
G-t65-008,P03,환불 예상금액 산정·환불계좌·지급,클레임·CS,라,라 — 결정 미정,가상계좌 입금분을 환불할 때 고객 환불계좌를 **어느 화면에서 어떻게 받을지**가 미정이다. 원장 판정도 담당 「미정」이다. 무통장·가상계좌가 현재 유일하게 동작하는 결제 수단이라(`checkout-form.tsx:8-9` 「PG 연동은 후속 — 현재는 무통장만 동작」) 1차 런칭에서 가장 먼저 부딪히는 환불 경로다.,신우진,PG 연동 설정(P29) 범위 확정
G-t65-009,P03,환불 예상금액 산정·환불계좌·지급,클레임·CS,라,라 — 결정 미정,환불 시 적립금·프린팅머니·쿠폰의 회수 규칙(부분 취소 시 안분)이 정해지지 않았다. 프린팅머니 원장 소유 결정(t62 P10·`STD-MYP-051`)이 선행이다.,신우진,t62 프린팅머니 원장 소유 결정
G-t65-010,P04,클레임 접수·사유분류·귀책판정·승인거부·철회,클레임·CS,다,다 — 코드는 있는데 연결 안 됨,원장이 적어둔 `X-SHOPBY-CLAIM-FSM-01` — 클레임 상태머신이 닫혀 있지 않다. 수거진행 중간상태가 빠져 있고 입금대기·교환대기·환불완료로 가는 전이가 정의돼 있지 않다. 고객 화면의 상태 라벨(`use-my-orders.ts:117-123`)은 7종만 매핑돼 있어 정의되지 않은 상태가 오면 그대로 노출된다.,김동학,샵바이 클레임 상태 전이 전수 확인
G-t65-011,P04,클레임 접수·사유분류·귀책판정·승인거부·철회,클레임·CS,나,나 — 행은 있는데 코드 0,클레임 목록·상세 화면이 huni-mall 에 없다 — `GET /profile/claims`·`GET /profile/claims/{claimNo}/result`·`GET /guest/claims/{claimNo}/result` 는 열려 있다.,김동학,없음 — 바로 착수 가능
G-t65-012,P04,클레임 접수·사유분류·귀책판정·승인거부·철회,클레임·CS,라,라 — 결정 미정,귀책 구분을 누가 어떤 기준으로 정하는지가 운영 규칙으로 없다. 귀책이 배송비 부담·환불액을 바꾸므로 P03 금액 계산의 선행이다.,최숙진,없음 — 운영 규칙 작성
G-t65-013,P05,인쇄 불량 접수·재제작,클레임·CS,나,나 — 행은 있는데 코드 0,불량 접수 화면이 huni-mall 에 없다. 클레임 사유에 실어 보낼 수는 있으나 사진 첨부 경로(원고 저장소 재사용 여부)가 정해져 있지 않다.,김동학,재제작 경로 결정
G-t65-014,P05,인쇄 불량 접수·재제작,클레임·CS,라,라 — 결정 미정,"재제작을 **새 주문으로 만들지, 원주문에 재투입할지**가 미정이다(원장 판정 「분할」 — 경로 결정은 PM, 운영 절차는 실무운영). 이 갈래에 따라 매출 통계(P21·P22)에 재제작분이 두 번 잡히는지가 갈린다.",신우진,없음 — 결정 자체가 선행
G-t65-015,P05,인쇄 불량 접수·재제작,클레임·CS,라,라 — 결정 미정,재제작 무상 기준(색 편차 허용 범위·재단 오차 허용 범위)이 수치로 없다. `print-kb/wiki/policy/operations.md#OPS-04` 는 「재제작 우선」만 말한다.,최숙진,없음 — 운영 규칙 작성
G-t65-016,P06,1:1 문의·상품 Q&A 응대,클레임·CS,나,나 — 행은 있는데 코드 0,"huni-mall 에 문의 라우트가 없다 — `src/app/(main)` 하위 13개 라우트에 inquiry·qna 가 없고 마이페이지 컴포넌트 18개에도 문의 섹션이 없다. 샵바이는 양쪽이 다 열려 있다: 상품문의 `GET/POST /products/{productNo}/inquiries`·`GET /profile/product-inquiries`, 1:1문의 `GET/POST /inquiries`·`GET /inquiries/{inquiryNo}`·`GET /inquiries/{inquiryNo}/file`, 운영자 답변 `POST /inquiry/{inquiryNo}/reply`·`POST /inquiries/{inquiryNo}/answer`.",김동학,없음 — 바로 착수 가능
G-t65-017,P06,1:1 문의·상품 Q&A 응대,클레임·CS,라,라 — 결정 미정,1:1 문의 유형(`GET /inquiries/types`)을 무엇으로 열지 정해지지 않았다. 유형이 곧 운영자 분류·담당 배정의 기준이 된다.,최숙진,없음 — 셀러어드민에서 유형 등록
G-t65-018,P06,1:1 문의·상품 Q&A 응대,클레임·CS,다,다 — 코드는 있는데 연결 안 됨,"화면 오른쪽 아래 떠 있는 「카톡상담」 버튼(`floating-cs.tsx:44`)이 `href=""#""` 라 아무 데도 가지 않는다 — 고객이 제일 먼저 누르는 상담 창구가 비어 있다.",김동학,상담 채널 URL 확정
G-t65-019,P07,기업인쇄·디자인 상담 접수·응대,클레임·CS,나,나 — 행은 있는데 코드 0,"상담 접수 화면이 huni-mall 에 없다 — inquiry 라우트 자체가 없다. 샵바이 1:1 문의 유형으로 태울지, 별도 폼을 만들지가 정해져 있지 않다.",김동학,상담을 1:1 문의 유형으로 태울지 결정
G-t65-020,P07,기업인쇄·디자인 상담 접수·응대,클레임·CS,라,라 — 결정 미정,기업인쇄 상담이 B2B 거래처 등록(t62 P23~P26)과 어떻게 이어지는지 미정이다. 상담으로 들어온 기업을 거래처로 승격시키는 길이 없으면 상담이 매번 처음부터 시작된다.,신우진,t62 B2B 시스템 경계 결정
G-t65-021,P07,기업인쇄·디자인 상담 접수·응대,클레임·CS,라,라 — 결정 미정,디자인 대행의 과금 방식(별도 상품 / 옵션 / 수기 견적)이 정해지지 않았다. `STD-ADP-035 디자인 상품 등록`(webadmin `admin/design-md/`)은 이미 작동하는데 상담에서 그 상품으로 넘어가는 길을 찾지 못했다.,신우진,없음 — 결정 자체가 선행
G-t65-022,P08,회사·정책 정보 페이지 게시,정보·콘텐츠,다,다 — 코드는 있는데 연결 안 됨,"네 페이지 모두 저장소에 하드코딩돼 있어 **운영자가 고칠 수 없다**. 회사소개는 `src/app/(main)/company/page.tsx` 의 `SLIDES` 이미지 6장, 오시는 길은 `src/app/(main)/location/page.tsx` 의 `INFO` 상수(주소 「서울 중구 필동로 80 낙원빌딩 2층」·고객센터 02-3409-8853), 약관·방침은 `docs/이용약관.md`·`docs/개인정보처리방침.md` 를 `export const dynamic = ""force-static""` 으로 빌드 시점에 1회 읽는다. 바꾸려면 코드 수정 + 재배포다.",김동학,운영 그릇 결정(샵바이 게시판 vs 저장소 유지)
G-t65-023,P08,회사·정책 정보 페이지 게시,정보·콘텐츠,다,다 — 코드는 있는데 연결 안 됨,"푸터 SNS 링크가 `footer.tsx:39` 에서 `href=""#""` 로 나가고, 떠 있는 상담 버튼도 `floating-cs.tsx:13` 에서 `href=""#""` 다. 「입점제휴문의」는 `nav-data.ts:574` 에 글자로만 있다.",김동학,SNS 계정·상담 채널 URL 수집
G-t65-024,P08,회사·정책 정보 페이지 게시,정보·콘텐츠,라,라 — 결정 미정,"법적 고지의 SSOT 를 저장소 마크다운으로 계속 둘지, 셀러어드민 약관 관리로 옮길지 미정이다. 샵바이가 가입 시점의 약관 동의를 자기 약관 ID 로 기록하므로(t62 P01) 두 벌이 어긋날 수 있다.",신우진,없음 — 결정 자체가 선행
G-t65-025,P09,공지사항 등록·열람,정보·콘텐츠,다,다 — 코드는 있는데 연결 안 됨,공지 본문이 `notice/[articleNo]/page.tsx:69` 에서 필터 없이 렌더된다 — 운영자가 넣은 HTML 이 그대로 실행된다. 같은 문제가 상품설명(`configurator.tsx:77`)에도 있고 P36 에서 함께 다룬다.,김동학,없음 — sanitize 이식으로 해결
G-t65-026,P09,공지사항 등록·열람,정보·콘텐츠,다,다 — 코드는 있는데 연결 안 됨,`STD-CLM-018`(공지사항·FAQ 열람) 중 공지 쪽만 동작하고 FAQ 쪽은 라우트가 없다. 원장 근거가 이미 「FAQ 라우트 부재」로 적혀 있다 — 한 행이 반만 충족된 상태다.,김동학,P10 FAQ 게시판 신설
G-t65-027,P09,공지사항 등록·열람,정보·콘텐츠,라,라 — 결정 미정,공지 게시판 번호가 코드 기본값 `287556`(`board.ts:14`)으로 박혀 있고 env 로만 덮인다. 게시판을 새로 파거나 몰을 바꾸면 조용히 빈 목록이 된다 — 환경변수 정합(P37)과 같은 뿌리다.,김동학,없음 — env 정리와 함께
G-t65-028,P10,FAQ·가이드북 등록·열람,정보·콘텐츠,나,나 — 행은 있는데 코드 0,"FAQ 고객 화면이 없다 — `src/app/(main)` 하위에 faq 라우트가 없다. 샵바이 게시판 API(`GET /boards/{boardNo}/articles`·`GET /boards/{boardNo}/categories`)는 공지와 같은 방식으로 열려 있어, 게시판 하나를 더 파고 공지 화면을 복제하면 된다.",김동학,셀러어드민에서 FAQ 게시판 생성
