id,axis,product_or_formula,authority_value,live_value,defect_type,severity,root_cause,fix_route,evidence
D-C1-02a,단가행값,COMP_PRINT_DIGITAL_S1 국4절 단면(POPT_000001),칼라(CMYK)단면 4000/2800/2500…(권위 D열),흑백(1도)단면 3000/2000/1600…(권위 B열·53티어 verbatim),WRONG,HIGH,평면화 로더가 흑백열을 단면축으로 오적재(흑백/칼라 축↔단면/양면 축 스크램블),dbmap 재적재(print_opt_cd↔comp S1/S2 의미축 재정렬·인간승인),"SELECT min_qty,unit_price FROM t_prc_component_prices WHERE comp_cd='COMP_PRINT_DIGITAL_S1' AND plt_siz_cd='SIZ_000499' AND print_opt_cd='POPT_000001' / 권위 price-digital-print-price-l1.csv B01 B/D열; 마스터 인쇄(옵션) distinct={단면,양면} 흑백/칼라 축 부재"
D-C1-02b,단가행값,COMP_PRINT_DIGITAL_S1 국4절 양면(POPT_000002),칼라(CMYK)양면 6000/4600/4300…(권위 E열),칼라(CMYK)단면 4000/2800/2500…(권위 D열),WRONG,HIGH,양면 선택이 칼라단면 단가에 매칭(칼라양면 단가는 S2에 적재됐으나 미배선),dbmap 재적재+S2 배선(인간승인),"동 comp POPT_000002 vs 권위 E열; S2 국4절 양면=6000(권위 E열 일치)이나 formula_components 배선 0"
D-C1-01,배선,PRF_DGP_A/B/C/D/E/F → COMP_PRINT_DIGITAL_S2,S2(칼라양면 단가) 배선되어야 함,formula_components에 S2 배선 0건,MISSING,HIGH,디지털 6공식 모두 S1만 배선·S2(212행) 고아,dbmap 배선 추가(D-C1-02 축 정정과 동반·인간승인),"SELECT comp_cd,COUNT(*) FROM t_prc_formula_components WHERE comp_cd LIKE 'COMP_PRINT_DIGITAL%' → S1만 존재"
D-C1-04,단가행값,COMP_NAMECARD_STD_S1/S2 스탠다드명함 자재,"단면 {백모조220·아트250·스노우250}=3500,{아트300·스노우300}=3800 (5 mat_cd)",MAT_000074=3500·MAT_000082=3800 (2 mat_cd만),MISSING,HIGH,동일가 자재군을 단일 mat_cd로 collapse 적재→나머지 3 mat_cd(아트250 MAT_000081·스노우250 MAT_000091 등) 선택 시 단가행 0 견적불가,dbmap 자재군 전 mat_cd 행 복제 적재(인간승인),"SELECT mat_cd,unit_price FROM t_prc_component_prices WHERE comp_cd='COMP_NAMECARD_STD_S1' →2행; PRD_000033 종이옵션 5 mat_cd(MAT_000074/081/082/091/092)"
D-C1-03,배선,별색 comp CLEAR/PINK/GOLD/SILVER_S1·S2·WHITE_S2,(WHITE_S1이 5색 전부 보유·정합),각 53행 적재되나 어느 공식에도 배선 0,EXTRA,MED,별색을 색상별 comp+proc_cd 두 방식 중복 적재→proc_cd 방식(WHITE_S1)만 사용·색상별 comp는 고아,dbmap 고아 comp 정리(use_yn=N·단가행 보존·인간승인),"SELECT comp_cd,COUNT(*) FROM t_prc_formula_components WHERE comp_cd IN ('COMP_PRINT_SPOT_CLEAR_S1',…) →0행; WHITE_S1 530행=5색×53×2면 verbatim 정합"
D-C1-05,바인딩,"투명/화이트인쇄/핑크별색/금은별색엽서·모양엽서·미니접지카드·인쇄배경지2·인쇄헤더택·봉투제작·썬캡 (11상품)",공식 바인딩+옵션선택 경로 필요,공식 바인딩 O·옵션그룹 0,UNBOUND,MED,가격공식은 붙었으나 CPQ 옵션레이어 미구성→옵션선택 경로 부재(A2 가격테이블 범위 밖),CPQ 트랙 §7/§21 라우팅(A2 비대상),"SELECT b.prd_cd,COUNT(DISTINCT g.opt_grp_cd) FROM t_prd_product_price_formulas b LEFT JOIN t_prd_product_option_groups g … →11상품 grp=0"
D-C1-06,단가행값,COMP_PAPER·DIGITAL_S1 투명엽서 plt(SIZ_000522=315x467),315x467 plt 단가행 필요,SIZ_000522 행 0(SIZ_000499 국4절만),MISSING,LOW,투명엽서 출력용지 315x467 plt 단가 미적재(현재 옵션0으로 견적불가라 미발현),dbmap plt 커버리지 보강(CPQ 구성 시·인간승인),"SELECT COUNT(*) FROM t_prc_component_prices WHERE comp_cd='COMP_PAPER' AND plt_siz_cd='SIZ_000522' →0; 마스터 투명엽서 출력용지규격=315x467"
C2-D1,3-binding,PRF_STK_PACK / COMP_STK_PACK,스티커팩 75x110 54장1세트 4000,SIZ_068 min_qty=54 unit_price=4000,NONE,MED,단가행 값 정확하나 min_qty=54 단일행 — 주문단위가 '장'이면 1~53 주문이 evaluate_price 계산불가(주문수량 이하 최대 min_qty 미충족). 주문단위가 '팩'이면 정상,confirm-order-unit(위젯/주문 단위가 팩 환원인지 도메인 컨펌·가격값 교정 불요),"live: t_prc_component_prices comp_cd=COMP_STK_PACK 1행; authority B07 스티커팩 54장1세트 4000"
C2-D2,1-value,COMP_STK_PRINT / B06 기본가,기본가 2000 / 3장 4000 / 1000장 4000,라이브 대응 comp 없음,MISSING,MED,authority B06 '기본가' 블록 미적재. 단 스티커 완제품가(STK_PRINT)가 통가격이라 기본가가 별도 합산 안 되는 구조면 정상(중복가산 방지). 최소제작비 floor 의도면 누락,confirm-domain(기본가가 완제품가에 흡수됐는지·별도 floor 필요 여부 컨펌. 누락 확정 시 dbmap 적재),"authority price-sticker-price-l1.csv B06 (row80-82): 2000/4000/4000; 라이브 STK comp에 base-fee comp 없음"
C2-D3,1-value,COMP_GANGPAN_PRINT 대표소재,합판 소재클래스 2종(비코팅류·유포류) 각 다소재,라이브는 클래스당 대표 1 mat_cd(MAT_084·MAT_153)만 적재,EXTRA,LOW,GANGPAN은 소재클래스별 대표 1소재만 적재(STK_PRINT는 클래스 내 전 소재 펼침) — 적재 패턴 비대칭. 가격값 동일이라 결함 아님,none(표준화 메모만·가격 verbatim 정확),"live: COMP_GANGPAN_PRINT distinct mat_cd={MAT_000084,MAT_000153}; authority 합판 헤더 비코팅/무광/유광·유포/투명데드롱/은데드롱"
