cluster_group,l1_category,unbound_cnt,prd_typ_breakdown,authority_price,live_trace,root_cause,severity,fix_route,evidence
photobook,책자(포토북),7,"완제품 1(PRD_000100)+반제품 6(101~107)",YES_inline_가격_기본24P+추가2P당(15000~32000+300~1000),NO_공식없음·comp없음·바인딩0·product_prices0,B_라이브에_공식자체없음(설계만§18·DB미적재),HIGH,§18 engine-design-photobook→dbmap 적재(PRF_PHOTOBOOK신설+per2p선형+세트조합),photobook-l1.csv 14행 inline가격 / 라이브 PHOTOBOOK공식 0건 / §18 G-PB-1·G-PB-2 WIRE
design-calendar,캘린더,5(108~112),"디자인상품 04",YES_inline_정찰가(탁상10400/9700·미니6500·엽서4000·벽9900·와이드24000),NO_공식없음·바인딩0·product_prices0(COMP_BIND_CAL_*만존재고아),A_권위가격있으나_정찰가BLOCKED(공식화불가·추측단가INSERT금지),HIGH,§18 engine-design-design-calendar→정찰가 SKU 적재(인간승인·역산비정수로 단가행불가),design-calendar-l1.csv 10행 / §18 inline=BLOCKED결판(유효판수 비정수 1.313/0.486 등)
calendar,캘린더(일반),일부(108~112 공유prd),"디자인상품 04",PARTIAL_별도설정·추가가격(0차정찰),NO_PRF_CAL_*부존재·바인딩0·COMP_BIND_CAL_*42행고아(어느공식에도未배선),C_단가행일부있으나_공식미설계+comp고아,HIGH,§18 engine-design-calendar→PRF_CAL_*신설+COMP_BIND_CAL배선+바인딩,calendar-l1.csv 20행 / COMP_BIND_CAL_DESK130/220/MINI/WALL 42행 formula_components 0배선
stationery-fixed,문구,9(다이어리4·먼슬리·노트·수첩·메모·중철),"완제품/반제품 혼재",YES_inline_고정가(2500~15000)+문구구간할인,NO_product_prices0·바인딩0·DSC링크6/9,D_공식불요(PRODUCT_PRICE경로)이나_단가행미INSERT,HIGH,§18 engine-design-stationery→product_prices고정가INSERT(verbatim)+DSC링크3보완,stationery-l1.csv 15행 / §18 본체9 product_prices 0행·바인딩0
stationery-tteokme,문구(떡메),2(097부모·098내지),"완제품+반제품",YES_가격표참고(PRF_TTEOKME_FIXED·COMP_TTEOKME112행실재),PARTIAL_공식·comp·단가행실재·바인딩0,D_공식·단가행完備_바인딩만누락,MED,§18→PRD_000097→PRF_TTEOKME_FIXED 바인딩+DSC링크(신규mint0),§18 stationery (B)매트릭스 / PRF_TTEOKME_FIXED use_yn=Y·COMP_TTEOKME 112행
goods-pouch,라이프+포장+에코백(굿즈),"~86(GP-1 55+GP-2 31)","기성상품03 다수+완제품01",YES_inline_가격(틴거울3000등)+선택가+가공가,NO_공식없음·comp없음·바인딩0(파우치0/23·에코백0/6·틴거울0/1),"B/D_GP-1=product_prices미INSERT, GP-2=공식바인딩전무",HIGH,§18 engine-design-goods-pouch→GP-1 product_prices INSERT·GP-2 formula바인딩(GP-2는product_prices금지),goods-pouch-l1.csv 303행 / §18 바인딩0행·GP-2 PRODUCT_PRICE선점가드
product-accessory,포장(부자재),"~14(AC-1 3+AC-2 11)+봉투addon","기성상품03",YES_inline_가격(I열·600~32000·67variant),NO_PRODUCT_PRICE·TEMPLATE_PRICE양경로0행(6종단최저)·ENV_MAKING봉투제작만실재,D_inline고정가_단가행양경로미INSERT,HIGH,§18 engine-design-accessory→AC-1/AC-2 product_prices INSERT(.01팩단가강제)+addon TEMPLATE_PRICE,product-accessory-l1.csv 67행 / §18 G-AC-2 .01팩단가가드 / ENV_MAKING bound1
booklet-set-members,책자,29(반제품02 대부분),"반제품02(면지·표지·내지)",PARTIAL_부모셋트가격에귀속(하이브리드),NO_구성원자체바인딩0(부모셋트도일부미바인딩),E_셋트구성원_자체바인딩불요이나_부모셋트미바인딩이면견적불가,MED,§23 set-product→부모셋트 바인딩 우선(evaluate_set_price),미바인딩02 29개=책자/포토북/링바인더 면지·표지·내지(PRD_000073~107)
acrylic-design,아크릴,25(디자인상품04 24+기성1),"디자인상품04",PARTIAL_가격표일부(아크릴시트)·COROTTO_ACRYL공식존재,PARTIAL_PRF_COROTTO_ACRYL(use_yn=Y·comp1·바인딩0)·CLR_ACRYL bound1,"A/D_공식존재바인딩0(COROTTO)+디자인상품일부미설계",MED,§18 engine-design-acrylic→COROTTO_ACRYL 바인딩+가격사슬연결,라이브 PRF_COROTTO_ACRYL wired1 bound0 / 미바인딩 아크릴25
poster-design,인쇄홍보물+포스터,8(디자인상품04),"디자인상품04",PARTIAL_포스터사인매트릭스(POSTER_*31공식실재),PARTIAL_POSTER_FIXED(use_yn=Y·comp1·바인딩0=개별공식으로대체),A_공식존재하나_디자인상품바인딩미연결,LOW,§18→해당 디자인상품을 POSTER_* 개별공식에 바인딩,PRF_POSTER_FIXED bound0(POSTER_ARTPRINT등 개별공식으로 대체됨)
misc-design-readymade,라이프+에코백+엽서/카드,"~108(기성상품03=108 대부분)","기성상품03 108+디자인상품04 일부",MIXED_일부inline가격_일부무가격,NO_대다수 공식·단가행·바인딩 전무,F_기성상품(제조불필요)=가격공식의도적부재가능_단_inline가격보유분은견적불가,MED,분류:순수기성(제외정상) vs inline가격보유(§18굿즈/악세사리경로 적재),미바인딩 PRD_TYPE.03=108(전부미바인딩)·§23 기성상품=제조불필요
