id,axis,product_or_formula,authority_value,live_value,defect_type,severity,root_cause,fix_route,evidence
C4-D01,wiring,PRF_BIND_SUM,"4종 책자 각 고유 제본(중철/무선/PUR/트윈링)","COMP_BIND_JUNGCHEOL 단 1개만 배선(중철 PROC_000018)",WRONG,HIGH,"다종-1배선: 무선/PUR/트윈링 책자가 중철 단가만 매칭 가능. proc 불일치시 제본비 0 silent skip(과소) 또는 중철로 오청구(PUR ~5배 과소)","dbmap: 상품별 공식분리 또는 상품별 bind comp 배선(MUSEON/PUR/TWINRING 단가행 이미 존재)·인간승인","t_prc_formula_components WHERE frm_cd='PRF_BIND_SUM' → COMP_BIND_JUNGCHEOL 1행; 바인딩 4상품 068-071"
C4-D02,wiring,PRF_FOLD_SUM,"접지리플렛=리플렛 접지(3단/4단/반접지 등)","COMP_FOLD_CARD_2H(카드 2단)만 배선",WRONG,HIGH,"리플렛인데 카드2단 접지비 배선. LEAF 접지 comp(3FOLD/4ACC/4GATE/HALF 각48행) 미배선. PRD_000048 옵션그룹0=접지종류 선택불가","dbmap: COMP_FOLD_LEAF_* 배선+접지옵션 그룹 추가·인간승인","t_prc_formula_components WHERE frm_cd='PRF_FOLD_SUM' → COMP_FOLD_CARD_2H 1행; PRD_000048 opt_groups=0"
C4-D03,binding,아크릴 23상품,"각 아크릴 상품 가격공식 보유","바인딩 0(공식 미연결)",UNBOUND,HIGH,"아크릴 26상품 중 3개만 바인딩(142/143/146). 마그넷·뱃지·명찰·코롯토·쉐이커 등 23상품 견적불가","dbmap/§18: 공식 설계+바인딩·인간승인","t_prd_products 아크릴26 LEFT JOIN price_formulas → bound 3"
C4-D04,binding,PRF_COROTTO_ACRYL,"코롯토 상품(164/165/168/226) 바인딩","바인딩 0(고아 공식)",UNBOUND,HIGH,"PRF_COROTTO_ACRYL(use_yn=Y)+COMP_ACRYL_COROTTO(21행 면적매트릭스) 완비됐으나 상품-공식 바인딩만 누락. '마지막 한 칸'","dbmap: 코롯토 4상품 PRF_COROTTO_ACRYL 바인딩·인간승인","t_prd_product_price_formulas WHERE frm_cd='PRF_COROTTO_ACRYL' → 0행; 코롯토 상품 전부 (none)"
C4-D05,wiring,COMP_ACRYL_MIRROR3T,"미러아크릴 사용상품 배선/바인딩","52행 적재·미배선·미바인딩(고아)",EXTRA,HIGH,"미러아크릴3T 단가(권위 B03 =B3*2) 적재됐으나 어느 공식·상품에도 미연결. 데이터 사장",dbmap: 미러아크릴 상품 식별 후 공식 배선 또는 use_yn=N 정리·인간승인,"t_prc_formula_components WHERE comp_cd='COMP_ACRYL_MIRROR3T' → 0행; comp_prices 52행"
C4-D06,binding,PRD_000070 PUR책자,"정상 책자 옵션그룹(사이즈/내지/표지/제본 등 9개)","OPT-000011 'Test' 단 1개(스텁)",MISSING,HIGH,"PUR책자가 미완성 상품. 옵션 선택 불가→견적 불가. D01 제본 배선결함과 중복","dbmap/§7: 069 무선책자 옵션구조 복제+PUR화·인간승인","t_prd_product_option_groups WHERE prd_cd='PRD_000070' → OPT-000011 'Test' 1행"
C4-D07,wiring,PRF_CLR_ACRYL,"키링 본체+키링고리 부속비","COMP_ACRYL_CLEAR3T(본체)만 배선",MISSING,MED,"키링고리(COMP_ACRYL_KEYRING) 후가공/부속 addtn 미배선 의심. 별도 템플릿경로 미확인",§23/§7: 키링 부속 배선경로 확인·인간승인,"t_prc_formula_components WHERE frm_cd='PRF_CLR_ACRYL' → COMP_ACRYL_CLEAR3T 1행(addtn_yn=N)"
C4-D08,data,COMP_BIND_TWINRING,"트윈링 단가 1벌","4 proc(PROC_000018~021) 4벌 적재(32행)",DUP,MED,"트윈링 comp에 4종 제본단가 전부 복제. 값은 각 proc=정확하나 매칭 오선택 위험(잉여 3벌)",dbmap: 트윈링 proc(PROC_000021)만 보존 검토·인간승인,"t_prc_component_prices WHERE comp_cd='COMP_BIND_TWINRING' → 32행 4 proc"
C4-D09,data,COMP_ACRYL_CLEAR3T,"대칭 면적매트릭스 전조합","w<=h 131행+w>h 34행=165(부분 대칭저장)",WRONG,MED,"완전 대칭 아니라 일부만 양방향. 특정 w>h 조합 매칭 누락 가능. 스폿 OK",dbmap: 대각 전수 무결성 검증·인간승인,"t_prc_component_prices comp_cd='COMP_ACRYL_CLEAR3T' tri 분포 131/34"
C4-D10,data,COMP_PHOTOCARD_SET/CLEAR_SET,"세트당 고정단가 6000/8500 verbatim","6000/8500(모델 정합·셀 원천 미수록)",MISSING,MED,"고정세트가 모델은 권위 정합하나 6000/8500 셀단위 verbatim 추출본 미수록",상품마스터 가격포함 시트 원본 셀 확인,"calc-formula-draft '[고정가형 포토카드] 판매가=[세트당 고정단가]'; comp_prices 각 1행"
C4-D11,positive,PRF_PHOTOCARD_FIXED,"NORMAL/CLEAR 공식분리(silent-sum 방지)","use_yn=N 폐기(SET+CLEAR_SET 합산 공식 비활성)",NONE,LOW,"260623 V3 교정의 정상 결과. NORMAL/CLEAR 분리로 silent 이중합산 제거됨. 결함 아님(정합 근거)",없음(정상),"frm_cd='PRF_PHOTOCARD_FIXED' use_yn=N; NORMAL→SET·CLEAR→CLEAR_SET 분리 배선"
C4-D12,scope,COMP_COAT_MATTE,"책자 표지코팅 배선","PRF_DGP_A/D/E(디지털인쇄)에 배선·C4 아님",NONE,LOW,"코팅 92행은 디지털인쇄(C1) 사슬. 책자 표지코팅(중철책자 무광/유광코팅) 가격 배선여부는 별개 추후",§23: 책자 표지코팅 가격경로 확인,"t_prc_formula_components WHERE comp_cd='COMP_COAT_MATTE' → PRF_DGP_* only"
