sheet_no,sheet,dim_axes,layer,calc_class,feeds_into_note
0,판걸이수,사이즈→판걸이정수,L3,판수modifier,수량→전지출력장수환산(앱계산)
1,출력소재IMPORT,종이명x전지,L1,단가(소재),합가base
2,디지털인쇄비,도수x면x수량,L1,단가(인쇄비),별색7종x단양면
3,코팅,무광유광x면x수량,L1,단가(후가공),합가add
4,접지옵션,2/3/6단x수량,L1,단가(옵션),오시+접지
5,인쇄후가공,모서리x수량,L1,단가(후가공·합가명시),귀돌이합가
6,커팅타공,완칼수량,L1,단가(가공·합가명시),인쇄비+소재+커팅
7,스티커,사이즈(판수)x소재x수량,L2,선조립합가표,인쇄비+소재+커팅내포
8,합판도무송스티커,형상x사이즈x소재x수량,L2,선조립합가표,1000개단위6소재
9,봉투제작,종류x소재x수량,L2,선조립합가표,1000개단위
10,명함포토카드,면(S1/S2)x소재x수량,L2,선조립합가표,단양면이중합산위험
11,후가공_박소형,박크기x수량,L1,단가(후가공),동판비add
12,엽서북떡메,사이즈x면xpagex수량,L2,선조립합가표,page키차원094결함
13,제본,제본종류x수량,L1,단가(공정),책자합가component
14,후가공_박대형,가로x세로,L1,단가(후가공·면적),동판비면적격자
15,아크릴,가로x세로,L1,단가(소재공용base),모든아크릴적용
16,포스터사인,가로x세로,L2,선조립합가표(실사),코팅포함가
17,굿즈파우치구간할인,수량구간→율,L3,modifier(곱),파우치에코백전체
18,후가공_박백업,명함동판비,L1,단가(후가공),명함박백업
