화면,매뉴얼 원문 위치,요소(설명 발췌),selector,경로,경로 종류,실측 결과,data-owner,data-work,note
[webadmin] 상품 › 상품 뷰어 › product_viewer_main,manual_content.py:308,상품 검색 — 상품명·코드로 좌측 트리를 좁힙니다.,#pv-q,/admin/product-viewer/,읽기,동작확인(/admin/product-viewer/@2026-09-17 08:12:18 KST),huni,dev,
[webadmin] 상품 › 상품 뷰어 › product_viewer_main,manual_content.py:309,상품 트리 — 클릭하면 오른쪽에 상세가 표시됩니다(카테고리별 그룹).,.pv-item,/admin/product-viewer/,읽기,동작확인(/admin/product-viewer/@2026-09-17 08:12:18 KST),huni,dev,
[webadmin] 상품 › 상품 뷰어 › product_viewer_main,manual_content.py:310,섹션 편집 — 해당 영역(기본정보·옵션그룹·제약·추가상품 등)을 팝업으로 편집합니다.,.pv-edit-btn,/admin/product-viewer/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 상품 뷰어 › product_viewer_main,manual_content.py:311,상세 영역 — 선택한 상품의 옵션·추가상품 템플릿·제약 등 전체 구성이 모입니다.,#pv-detail,/admin/product-viewer/,읽기+쓰기,동작확인(/admin/product-viewer/@2026-09-17 08:12:18 KST),huni,dev,쓰기 부분 dev 필요
[webadmin] 상품 › 상품 뷰어 › product_options,manual_content.py:317,옵션그룹/옵션 추가 — 점선 버튼으로 새 항목 입력 폼을 엽니다.,.add-btn,/admin/product-viewer/{code}/options/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 상품 뷰어 › product_options,manual_content.py:318,편집 — 행을 인라인 편집 폼으로 펼칩니다.,.lnk.edit,/admin/product-viewer/{code}/options/,읽기,동작확인(/admin/product-viewer/PRD_000046/options/@2026-09-17 08:13:48 KST),huni,dev,
[webadmin] 상품 › 상품 뷰어 › product_options,manual_content.py:319,열기 › — 하위 단계(옵션그룹→옵션→옵션항목)로 드릴다운합니다.,.lnk.open,/admin/product-viewer/{code}/options/,읽기,동작확인(/admin/product-viewer/PRD_000046/options/@2026-09-17 08:13:48 KST),huni,dev,
[webadmin] 상품 › 상품 뷰어 › product_options,manual_content.py:320,삭제 — 확인 후 논리삭제합니다.,.lnk.del,/admin/product-viewer/{code}/options/,읽기+쓰기,동작확인(/admin/product-viewer/PRD_000046/options/@2026-09-17 08:13:48 KST),huni,dev,쓰기 부분 dev 필요
[webadmin] 상품 › 상품 뷰어 › product_options_reorder,manual_content.py:330,▲▼ 순서 조정 — 줄을 위·아래로 옮깁니다(옵션 목록 단계). 옮긴 뒤 저장을 눌러야 표시순서가 반영됩니다.,.ordb.up,/admin/product-viewer/PRD_000046/options/OPT-000010/?_popup=1,읽기+쓰기,동작확인(/admin/product-viewer/PRD_000046/options/OPT-000010/?_popup=1@2026-09-17 08:12:20 KST),huni,dev,쓰기 부분 dev 필요
[webadmin] 상품 › 상품 뷰어 › product_constraints,manual_content.py:336,그룹 추가 — 조건 그룹을 추가합니다.,#btn-add-group,/admin/product-viewer/{code}/constraints/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 상품 뷰어 › product_constraints,manual_content.py:337,조건 그룹 영역 — 추가한 그룹이 여기 쌓입니다. 그룹 사이의 AND/OR 배지를 눌러 논리 연산을 바꿉니다(그룹이 2개 이상일 때 나타납니다).,#groups-container,/admin/product-viewer/{code}/constraints/,읽기+쓰기,동작확인(/admin/product-viewer/PRD_000046/constraints/@2026-09-17 08:25:18 KST),huni,dev,쓰기 부분 dev 필요
[webadmin] 상품 › 상품 뷰어 › product_constraints,manual_content.py:338,이 조합 검사 — 입력한 조건으로 우측에서 즉시 검증 미리보기.,text=이 조합 검사,/admin/product-viewer/{code}/constraints/,읽기,동작확인(/admin/product-viewer/PRD_000046/constraints/@2026-09-17 08:25:18 KST),huni,dev,
[webadmin] 상품 › 상품 뷰어 › product_constraints,manual_content.py:339,JSONLogic 보기/직접 편집 — 고급 사용자용 원본 규칙 편집.,text=JSONLogic,/admin/product-viewer/{code}/constraints/,읽기,동작확인(/admin/product-viewer/PRD_000046/constraints/@2026-09-17 08:25:18 KST),huni,dev,
[webadmin] 상품 › 상품 뷰어 › sku_catalog,manual_content.py:345,편집 — 해당 상품의 추가상품 템플릿 목록으로 이동합니다.,text=편집,/admin/sku-catalog/,읽기+쓰기,동작확인(/admin/sku-catalog/@2026-09-17 08:25:10 KST),huni,dev,쓰기 부분 dev 필요
[webadmin] 상품 › 셋트상품 관리 › set_products_main,manual_content.py:356,검색 — 셋트 상품 목록을 좁힙니다.,#srch,/admin/set-products/,읽기,동작확인(/admin/set-products/@2026-09-17 08:12:26 KST),huni,dev,
[webadmin] 상품 › 셋트상품 관리 › set_products_main,manual_content.py:357,+ 새 셋트 — 상품 선택 드롭다운을 열어 셋트로 만들 상품을 고릅니다.,#addBtn,/admin/set-products/,읽기,동작확인(/admin/set-products/@2026-09-17 08:12:26 KST),huni,dev,
[webadmin] 상품 › 셋트상품 관리 › set_products_main,manual_content.py:358,좌측 목록 — 클릭하면 우측에 해당 셋트 편집 폼이 열립니다.,.row,/admin/set-products/,읽기,동작확인(/admin/set-products/@2026-09-17 08:12:26 KST),huni,dev,
[webadmin] 상품 › 셋트상품 관리 › set_products_main,manual_content.py:359,편집 폼 — 셋트 구성·가격을 편집합니다(저장 시 자동 새로고침).,#frame,/admin/set-products/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 추가상품 템플릿 (상품별 편집) › sku_drilldown_main,manual_content.py:374,추가 — 새 추가상품 템플릿을 만듭니다.,.add-btn,/admin/product-viewer/{code}/templates/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 추가상품 템플릿 (상품별 편집) › sku_drilldown_main,manual_content.py:375,편집 — 템플릿명·기준상품·표시순서를 인라인으로 고칩니다.,.lnk.edit,/admin/product-viewer/{code}/templates/,읽기,동작확인(/admin/product-viewer/PRD_000001/templates/@2026-09-17 08:15:49 KST),huni,dev,
[webadmin] 상품 › 추가상품 템플릿 (상품별 편집) › sku_drilldown_main,manual_content.py:376,열기 › — 그 템플릿이 어떤 옵션 값으로 고정돼 있는지 들어가 봅니다.,.lnk.open,/admin/product-viewer/{code}/templates/,읽기,동작확인(/admin/product-viewer/PRD_000001/templates/@2026-09-17 08:15:49 KST),huni,dev,
[webadmin] 상품 › 구성템플릿 조합 (내부 대조표) › tmpl_combo_main,manual_content.py:390,검색 — 좌측 상품 목록을 좁힙니다.,#srch,/admin/tmpl-combo-md/,읽기,동작확인(/admin/tmpl-combo-md/@2026-09-17 08:12:30 KST),huni,dev,
[webadmin] 상품 › 구성템플릿 조합 (내부 대조표) › tmpl_combo_main,manual_content.py:391,상품 클릭 — 오른쪽에 그 상품의 차원 선택과 조합 시트가 열립니다.,#list .row,/admin/tmpl-combo-md/,읽기,동작확인(/admin/tmpl-combo-md/@2026-09-17 08:12:30 KST),huni,dev,
[webadmin] 상품 › 구성템플릿 조합 (내부 대조표) › tmpl_combo_main,manual_content.py:392,🔄 조합 생성/갱신 — 고른 차원으로 가능한 조합을 전부 만들어 표에 깝니다(기존 입력은 유지).,#genBtn,/admin/tmpl-combo-md/,읽기,동작확인(/admin/tmpl-combo-md/@2026-09-17 08:12:30 KST),huni,dev,
[webadmin] 상품 › 구성템플릿 조합 (내부 대조표) › tmpl_combo_main,manual_content.py:393,저장 — 표 전체를 저장합니다(빠진 행은 삭제 처리되니 필터/부분 편집 주의).,#saveBtn,/admin/tmpl-combo-md/,읽기+쓰기,동작확인(/admin/tmpl-combo-md/@2026-09-17 08:12:30 KST),huni,dev,쓰기 부분 dev 필요
[webadmin] 기준정보 › 용지 관리 › paper_management_main,manual_content.py:408,좌측 용지 목록 — 클릭하면 오른쪽에 상세가 열립니다.,#pm-list,/admin/paper-management/,읽기,동작확인(/admin/paper-management/@2026-09-17 08:25:15 KST),huni,dev,
[webadmin] 기준정보 › 용지 관리 › paper_management_main,manual_content.py:409,+ 용지 등록 — 새 용지를 추가합니다(코드는 자동채번).,text=+ 용지 등록,/admin/paper-management/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 기준정보 › 용지 관리 › paper_management_main,manual_content.py:410,기본정보 탭 — 용지명·평량·두께(책등계산용 mm)·상위용지를 편집합니다.,[data-action='btab'][data-tab='info'],/admin/paper-management/,읽기,동작확인(/admin/paper-management/@2026-09-17 08:25:15 KST),huni,dev,
[webadmin] 기준정보 › 용지 관리 › paper_management_main,manual_content.py:411,단가 탭 — 이 용지의 단가 행을 봅니다(배지=행 수).,[data-action='btab'][data-tab='price'],/admin/paper-management/,읽기,동작확인(/admin/paper-management/@2026-09-17 08:25:15 KST),huni,dev,
[webadmin] 기준정보 › 용지 관리 › paper_management_main,manual_content.py:412,그리드 편집 — 수량구간별 단가를 표로 입력합니다.,text=그리드 편집,/admin/paper-management/,읽기,동작확인(/admin/paper-management/@2026-09-17 08:25:15 KST),huni,dev,
[webadmin] 기준정보 › 카테고리 › category_master_main,manual_content.py:423,+ 추가 — 해당 단계에 새 카테고리를 추가합니다(상위 자동 지정).,.add,/admin/category-master/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 기준정보 › 카테고리 › category_master_main,manual_content.py:424,행 클릭 — 하위 단계가 오른쪽 칼럼에 펼쳐집니다.,.row,/admin/category-master/,읽기,동작확인(/admin/category-master/@2026-09-17 08:14:00 KST),huni,dev,"위험: .row 내부에 span.del(삭제) 포함 — 매뉴얼 step 「click .row」가 삭제 확인을 띄운다. 재개 시 .row .nm 등 안전한 자식으로 좁힐 것 / 선행조작: click .row | dialog:엽서/카드 카테고리를 삭제할까요?
(논리삭제 — del"
