row_id,data_role,track,step,title,wait_target,owner_name,evidence,source
T6-2,top,T6,D5,Shopby 엔터프라이즈 플랜·외부포인트 정식 적용 회신,외부(NHN커머스),외부(NHN커머스),_workspace/huni-launch-runway/07_rebaseline/S/S3-migration/migration-status.md:67,top
T6-3,top,T6,D5,토스페이먼츠 계약 4건 회신(면제·수수료·업종 심사·샌드박스),외부(토스페이먼츠),외부(토스페이먼츠),_workspace/huni-launch-runway/07_rebaseline/S/S3-migration/migration-status.md:54,top
STD-PAY-001,detail,T3,B6,신용카드 결제(PG),외부(KG이니시스),신우진,huni-skin-shopby/src/components/checkout/checkout-form.tsx:8-9 주석 'PG 연동은 후속 — 현재는 무통장만 동작' (SB-032 absent) · X-PG-CONTRACT-01 이니시스 계약 미체결,ledger-v4
STD-PAY-004,detail,T3,B6,네이버페이 결제,외부(네이버페이),외부(네이버페이),X-DEC-NAVERPAY-01 NaverPay 별도 mini-OrderSheet 1차 범위 포함 여부 미결,ledger-v4
STD-PAY-005,detail,T3,B6,카카오페이 결제,외부(카카오페이),외부(카카오페이),print-kb/wiki/policy/order-payment.md#PAY-03,ledger-v4
STD-PAY-007,detail,T3,B6,적립금(프린팅머니) 결제,외부(NHN커머스),서희항,"huni-skin-shopby/src/lib/api/hooks/use-points.ts:22,62 (조회 done) · checkout-form.tsx:52 (적립/충전은 mock)",ledger-v4
STD-PAY-008,detail,T3,B6,복합결제(적립금+PG 병용),외부(NHN커머스),김동학,huni-skin-shopby/src/components/checkout/checkout-form.tsx:52 (mock),ledger-v4
STD-PAY-009,detail,T3,B6,할부·무이자 옵션,외부(KG이니시스),외부(KG이니시스),print-kb/wiki/policy/order-payment.md#PAY-04,ledger-v4
STD-PAY-011,detail,T3,B6,PG 리다이렉트·결제 확정 콜백,외부(KG이니시스),김동학,huni-skin-shopby/src/lib/payments/ncp-pay.ts:47-70 · src/app/api/pay-config/route.ts:8 — X-PAY-FLOW-01 PG 콜백 흐름 미상,ledger-v4
STD-PAY-019,detail,T3,B6,수동카드결제(키인·가상단말 · PC+모바일),외부(KG이니시스),외부(KG이니시스),"L3/legacy-normalized.json#F-074,IA-074,SCOPE-074 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:75 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A75:K75 || P1판정(260902): huni-skin-shopby 전수 grep '키인|manualCard|가상단말' 0건(260902)",ledger-v4
STD-PAY-022,detail,T3,B6,토스 계약 조건 확인(건당 수수료·가입비/연관리비 면제 프로모션·포트원 경유),외부(토스페이먼츠),외부(토스페이먼츠),후니정기미팅 정리260915.html §프린팅머니 · 미결 3,ledger-v4
STD-PAY-023,detail,T3,B6,「자사 상품 전용 선불 충전」 용도 가맹점 심사 가능 여부 사전 확인,외부(토스페이먼츠),외부(토스페이먼츠),후니정기미팅 정리260915.html §프린팅머니 · 미결 6,ledger-v4
