prd_cd,prd_nm,current_qty_unit_typ_cd,target_qty_unit_typ_cd,use_yn,_provenance
PRD_000001,OPP접착봉투,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000002,OPP비접착봉투,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000003,트래싱지 카드봉투,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000004,카드봉투,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000005,캘린더봉투,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000006,볼체인,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000007,와이어링,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000008,천정고리,NULL,QTY_UNIT.01,N,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000009,투명케이스,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000010,행택끈,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000011,자석고정용고무판,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000012,우드거치대,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=상품액세서리 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000013,우드봉,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=상품액세서리 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000014,우드행거,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=상품액세서리 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
PRD_000015,만년스탬프 리필잉크,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=상품액세서리 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL
