system,group,screen_id,screen_name,role,function,work_type,counterpart,direction,owner_side,plan_row_id,status,evidence
edicus,템플릿·상품 매핑,EDI-01,상품별 Edicus 템플릿 연결(webadmin admin/edicus-template-md/),운영자(CS·상품),완제품×옵션조합 데카르트곱 그리드에서 PSCode/템플릿URI 등록·조회·삭제,build,,,webadmin,NEW,완료,raw/webadmin/webadmin/config/urls.py:41-50 · catalog/edicus_views.py:475-928(edicus_template_md/edicus_meta/edicus_dims_save/edicus_grid_save/edicus_clear)
edicus,템플릿·상품 매핑,EDI-02,Edicus 연결 구멍(gap) 진단 배지,운영자(CS·상품),옵션조합 데카르트곱 대비 미등록 조합 수를 상품별로 산출해 배지 표시(?gaps=1 비동기 분리),build,,,webadmin,NEW,완료,catalog/edicus_views.py:327-432(gap_report) · :475-485(edicus_template_md ?gaps=1)
edicus,템플릿·상품 매핑,EDI-03,디자인 관리(webadmin admin/design-md/),운영자(CS·상품),상품별 디자인(썸네일·PSCode·tmpl_uri·고정사양·태그·표시순서) 등록·수정·삭제(팝업 단위 upsert),build,,,webadmin,NEW,완료,raw/webadmin/webadmin/config/urls.py:122-130 · catalog/design_views.py:47-224(design_md/design_list/design_presign/design_save/design_delete)
edicus,편집기 진입,EDI-04,옵션조합→PSCode/템플릿 서버 해석(POST /api/w/v1/editor/resolve),시스템(무인),고객이 고른 옵션조합(또는 선택 디자인)을 어느 PSCode·템플릿URI로 열지 서버가 결정,build,,,webadmin,STD-ART-030,완료,raw/webadmin/webadmin/catalog/widget_api.py:5758-5789(api_editor_resolve) · catalog/edicus_lookup.py:165-200(resolve)
edicus,편집기 진입,EDI-05,디자인 우선 편집기 해석(dsn_cd 경로),시스템(무인),"디자인을 고르고 들어온 경우 그 디자인의 PSCode/URI로 직결(옵션조합 매핑 조회 생략, 1디자인 1사이즈 확정)",build,,,webadmin,NEW,완료,raw/webadmin/webadmin/catalog/widget_api.py:5770-5776 · catalog/designs.py(get_for_order — 파일 상단 주석 '편집기 해석(edicus 우선순위)')
edicus,편집기 진입,EDI-06,Edicus 사용자토큰 대리발급(POST /api/w/v1/editor/token),시스템(무인),webadmin이 비밀 API키로 Edicus 서버에 토큰 요청 후 사용자토큰만 위젯에 전달(비밀키 노출 차단),integrate,edicus,webadmin→edicus,webadmin,STD-ART-022,완료,raw/webadmin/webadmin/catalog/widget_api.py:5803-5832(api_editor_token) · catalog/edicus_lookup.py:245-287(issue_token) · _workspace/huni-edicus-product-map/02_contract/editor-launch-contract.md §2(토큰 흐름·서버전용경계)
edicus,편집기 진입,EDI-07,위젯→webadmin 편집기 진입 요청(버튼 클릭),고객,위젯 화면에서 「에디터로 편집하기」를 눌러 resolve/token 두 API를 순차 호출해 에디터를 띄운다,integrate,webadmin,widget→webadmin,widget,STD-ART-021,진행,"planrows-edicus.csv row STD-ART-021: raw/webadmin/webadmin/config/urls.py:274,275 · catalog/edicus_lookup.py:214-260(webadmin측 done) — 그러나 SB-020 stub: huni-skin-shopby/src/components/product/configurator-actions.tsx:170-176 onClick 없음(데드버튼, 이 저장소 범위 밖·재확인 불가)"
edicus,편집 캔버스,EDI-08,Edicus 에디터 캔버스(SDK iframe),고객,고객이 실제로 디자인을 꾸미는 화면 — Edicus가 그대로 제공,provided,edicus,,edicus,STD-ART-022,완료,STD-ART-022 evidence: https://huni-admin.printly.co.kr/admin/edicus-template-md/@2026-09-16 21:28(라이브 작동 확인) · _workspace/huni-edicus-product-map/02_contract/editor-launch-contract.md §0(기동 3요소 ps_code/template_uri/token)
edicus,편집 캔버스,EDI-09,편집기 토큰 만료 재발급(request-user-token),시스템(무인),편집 중 Edicus가 request-user-token 이벤트를 보내면 서버가 재발급해 post_to_editor로 주입,integrate,edicus,edicus→webadmin→widget,widget,NEW,미확인,_workspace/huni-edicus-product-map/02_contract/editor-launch-contract.md §2(토큰 만료 재발급 계약 명시) · 03_mapping/editor-yn-drift.md 참조 — 구현 코드는 이 저장소에서 미확인
edicus,원고 저장·반환,EDI-10,편집기 프로젝트 상태(project_id) 저장,시스템(무인),create_project 성공 시 project_id를 후니 주문/장바구니에 저장해야 이후 주문확정·미리보기의 키가 된다,integrate,widget,edicus→widget→webadmin,widget,NEW,미확인,_workspace/huni-edicus-product-map/02_contract/editor-launch-contract.md §5(콜백 계약 — project-id-created는 [HARD] 저장 필수로 명시되나 저장 구현 코드는 이 저장소에서 미확인)
edicus,원고 저장·반환,EDI-11,Edicus 주문 API(잠정/확정/취소/복제/삭제),시스템(무인),tentative_order/definitive_order/cancel_order/clone_project/delete_project — Edicus Server API 호출 함수는 구현돼 있으나 아무도 부르지 않음(배선 전),integrate,edicus,webadmin→edicus,webadmin,NEW,미착수,raw/webadmin/webadmin/catalog/edicus_lookup.py:319-417(get_project/tentative_order/definitive_order/cancel_order/clone_project/delete_project) · _workspace/huni-edicus-live/DEV-HANDOFF-260818/edicus-server-api.md 엔드포인트표 '⬜ 호출 함수는 있으나 아무도 부르지 않음'
edicus,원고 저장·반환,EDI-12,편집 디자인 보관함(임시저장→장바구니 이전),고객,"편집 종료 후 결제 전까지 보관(결제금액 제외), 「장바구니로 옮기기」 시 상품·옵션·금액 유지 이전",build,,,widget,STD-MYP-030,진행,planrows-edicus.csv row STD-MYP-030: 후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 확정 7 / 후니-오픈잔여작업-실무진안내_260909.html §항목 11
edicus,원고 저장·반환,EDI-14,편집기 산출물 인쇄용 파일 변환·주문 연결,시스템(무인),테스트결제 1건의 주문등록 payload에 편집기 결과(템플릿·산출물)가 실려 있는지 확인,integrate,edicus,edicus→webadmin,webadmin,STD-ART-024,진행,planrows-edicus.csv row STD-ART-024: X-WGTF-EDICUS-01 · X-EDX-D8-01 EDICUS Link Manager POD 채널 이중등록
edicus,원고 저장·반환,EDI-15,Edicus Prepress 렌더링 결과 접수파일 등록,생산(MES),편집기 산출물이 렌더링되어 생산(MES)로 접수되는 경로 — 현행 구현 여부 미실측,integrate,mes,edicus→mes,mes,STD-MFG-060,완료,"직접 확인(TS.BackOffice.Huni 읽기전용): BackOffice.Console/CRT.EasyMES.V2.Console.MotionOneInterface/Program.cs:41(콘솔 목적 주석 'MontionOne Render 완료 WebHook 처리'),:107-166(SQS 큐에서 EdicusRenderInfo 수신·DoWebHookJob 호출·처리 성공 시 메시지 삭제),:267(DoWebHookJob 정의) · Common/EdicusRenderInfo.cs(렌더 결과 모델: Output.UserData.OrderId/StoreItemId/EditorItemId, HasRenderOutput) — MotionOne(Edicus) 렌더 완료 웹훅 수신·MES 접수 코드 실재 확인. 썸네일 자동생성은 별도 행 EDI-15b — BackOffice.Console/CRT.EasyMES.V2.DesignFileThumbnailCreator/Program.cs:34-51(MAX_INSTANCES 설정 기반 중복실행 방지, 무인 스케줄러). 정정: planrows-edicus.csv row STD-MFG-060(9/17 원장='미실측' — MES 담당자 회신 대기로 기재)은 HuniWeb 저장소만 조사한 결과였음; TS.BackOffice.Huni 직접 조사로 코드 실재를 확인해 완료로 정정함(다른 에이전트 주장이 아니라 이 에이전트가 path:line을 직접 읽어 확인)."
edicus,원고 저장·반환,EDI-16,편집기 상품 수정요청·수정완료 왕복,고객,"편집 완료 후 수정요청이 필요할 때의 흐름 — 시스템 미구현, Plan B로 전화/문자 수기 처리 예정",manual,,,,STD-MFG-064,미착수,planrows-edicus.csv row STD-MFG-064: 후니프린팅_주문프로세스_20251001.pdf p.1 case3 · auto-vs-human §2.2 #37·#38 편집기 수정요청/수정완료 왕복 미구현
edicus,썸네일·미리보기,EDI-17,Edicus 미리보기 URL 조회(preview_urls),시스템(무인),편집 완료 후 썸네일/미리보기 이미지 URL을 받아오는 API — 호출 함수 없음(미사용),integrate,edicus,webadmin→edicus,webadmin,NEW,미착수,_workspace/huni-edicus-live/DEV-HANDOFF-260818/edicus-server-api.md 엔드포인트 #9 GET /api/projects/{prjid}/preview_urls — '❌ 미사용'
edicus,썸네일·미리보기,EDI-18,디자인 목록 썸네일 공개 서빙,고객,"상품별 디자인(후니 자체 등록 디자인 카탈로그, Edicus 산출물 아님) 썸네일을 위젯에 공개 서빙",build,,,webadmin,NEW,완료,raw/webadmin/webadmin/catalog/widget_api.py:6104-6156(api_designs/api_design_image)
edicus,편집기 진입,EDI-19,신규몰(위젯) 디자인 목록 API 소비,고객,webadmin 등록분 디자인 목록을 위젯이 불러와 화면에 렌더 — 위젯측 소비 코드 미확인,integrate,webadmin,widget→webadmin,widget,STD-CAT-036,미착수,"planrows-edicus.csv row STD-CAT-036: 'webadmin 에 디자인 1건을 등록한 뒤 신규몰 디자인 목록을 새로고침해 그 디자인이 보이면 완료' — 상태 미착수(9/17 원장 기준, webadmin측 API는 EDI-18에서 완료 확인됐으나 위젯 소비측 코드는 이 저장소 범위 밖)"
edicus,템플릿·상품 매핑,EDI-20,EDICUS Manager(외부 원장) — prodCode/sizeCode/템플릿 정의,시스템(무인),"EDICUS 자체 콘솔에서 상품·사이즈·디자인 템플릿(원천 리소스)을 정의 — 완전히 외부 제공, 후니 상품코드 칸 없음",provided,edicus,,edicus,NEW,완료,_workspace/huni-edicus-product-map/01_edicus/manager-findings.md §2(EDICUS Manager=원장·AngularJS) · screenshots/10-edicus-manager-home.png(gstack 읽기전용 실측)
edicus,템플릿·상품 매핑,EDI-21,Edicus Link Manager(POD 자동화 SaaS) — 별개 계정·상품체계,관리자,네이버 스마트스토어 주문→편집링크 발송→생산파일 자동화. 후니 webadmin/위젯 라이브 DB와 연결 없음(범위 확인용 기록),provided,edicus,,외부,NEW,완료,"[오픈분모밖] 후니 webadmin/위젯 경로와 무관(별개 SaaS·별개 계정·스마트스토어 상품체계, 직접 gstack 실측) — _workspace/huni-edicus-product-map/01_edicus/manager-findings.md §1(Link Manager=POD 자동화 SaaS, 후니 prd_cd 칸 없음·스마트스토어 상품체계·hunip 계정, gstack 읽기전용 실측 260713)"
edicus,편집 캔버스,EDI-22,useEdicus/useHuniEditor 훅(SDK 통합 참조코드),시스템(무인),EdicusClient 생명주기 React 통합·create_project/open_project/postToEditor 배선 — docs/edicus.man은 별도 참조 프로젝트(운영 huni-skin-shopby 아님),provided,edicus,,외부,NEW,완료,"[오픈분모밖] docs/edicus.man(edicus-man)은 별도 참조/데모 리포지토리 — README.md에 자체 SaaS로 소개되며 운영 위젯(huni-skin-shopby, 이 저장소 밖)과 별개 코드베이스. 이번 오픈은 huni-skin-shopby 코드로 진행되므로 이 참조코드 자체는 오픈 분모 밖(참고자료) — docs/edicus.man/src/hooks/useEdicus.ts:65-183 · useHuniEditor.ts:19-137 · docs/edicus.man/README.md 1-13행('웹-투-프린트 SaaS 플랫폼', package.json name=edicus-man) — 참조용, 운영 위젯(huni-skin-shopby, 이 저장소 밖)과는 별개 리포지토리"
