prd_cd,opt_cd,item_seq,ref_dim_cd,ref_key1,ref_key2,qty,use_yn,del_yn
PRD_000016,OPV_000017,2,OPT_REF_DIM.08,COMP_PRINT_DIGITAL_S1,,,Y,N
PRD_000016,OPV_000018,2,OPT_REF_DIM.08,COMP_PRINT_DIGITAL_S2,,,Y,N
PRD_000016,OPV_000040,2,OPT_REF_DIM.08,COMP_PP_CORNER_RIGHT,,,Y,N
PRD_000016,OPV_000041,2,OPT_REF_DIM.08,COMP_PP_CORNER_ROUND,,,Y,N
PRD_000016,OPV_000042,2,OPT_REF_DIM.08,COMP_PP_CREASE_1L,,,Y,N
PRD_000016,OPV_000043,2,OPT_REF_DIM.08,COMP_PP_PERF_1L,,,Y,N
PRD_000016,OPV_000044,2,OPT_REF_DIM.08,COMP_PP_VARTEXT_1EA,,,Y,N
PRD_000016,OPV_000045,2,OPT_REF_DIM.08,COMP_PP_VARIMG_1EA,,,Y,N
PRD_000017,OPV_000051,2,OPT_REF_DIM.08,COMP_COAT_GLOSSY,,,Y,N
PRD_000017,OPV_000052,2,OPT_REF_DIM.08,COMP_COAT_MATTE,,,Y,N
PRD_000026,OPV_000088,2,OPT_REF_DIM.08,COMP_COAT_GLOSSY,,,Y,N
PRD_000026,OPV_000089,2,OPT_REF_DIM.08,COMP_COAT_MATTE,,,Y,N
