std_id,기능,규칙이 준 값,예외 값,근거
STD-CAT-013,상품 Q&A 게시,쇼핑개발/builder,쇼핑개발/web,샵바이 표준 상품문의 기능 — 빌더 산출물이 아니라 스토어프론트 기능
STD-CAT-014,상품 리뷰 목록·평점 노출,쇼핑개발/builder,쇼핑개발/web,같은 근거(샵바이 표준 리뷰)
STD-CAT-015,사진 리뷰 갤러리,쇼핑개발/builder,쇼핑개발/web,같은 근거
STD-CAT-016,관련상품/함께 주문한 상품 추천,쇼핑개발/builder,쇼핑개발/web,전시 로직 — 상세 콘텐츠 블록이 아님
STD-CAT-017,최근 본 상품,쇼핑개발/builder,쇼핑개발/web,같은 근거
STD-CAT-018,찜/관심상품,쇼핑개발/builder,쇼핑개발/web,같은 근거
STD-SYS-021,페이지 빌더(운영자 화면 편집),쇼핑개발/web,쇼핑개발/builder,260616 01_역할정의 「상세페이지 빌더」가 이 항목 자체
STD-SYS-011,디자인 에디터 외부 서비스 연동,쇼핑개발/web,PM,N3 §5 U-23 Edicus 계약 상태 미확인 — 계약이 선행. 계약 뒤 배선은 인쇄개발(위젯 내부 호출)
STD-SYS-012,본인인증 서비스 연동,쇼핑개발/web,PM,L2 D-17 「코드에 호출 지점 자체가 없음 — 오픈 정책상 필요하면 신규 개발」 · 사업자 계약 선행
STD-FIN-007,공정/팀별 작업량 통계,쇼핑개발/web,인쇄개발,생산 축 통계 — 원천이 webadmin 공정 데이터(M3 process-route §3 팀·파트)
STD-INF-003,이용약관 페이지 게시,PM,PM(작성)+쇼핑개발/builder(게시),PM 이 문안을 쓰고 게시 화면은 빌더 — 이중 배정
STD-INF-004,개인정보처리방침 페이지 게시,PM,PM(작성)+쇼핑개발/builder(게시),같은 근거
STD-INF-001,회사소개 페이지,PM,PM(작성)+쇼핑개발/builder(게시),같은 근거
STD-INF-002,찾아오시는 길(약도·교통 안내),PM,PM(작성)+쇼핑개발/builder(게시),같은 근거
STD-ART-026,고객 파일 보관기간 정책 적용·만료 삭제,인쇄개발,PM(정책)+인쇄개발(구현),N3 §5 U-23 원고 tmp 30일 ↔ 샵바이 장바구니 보존기간 맞물림 — 보존기간은 정책 결정
