target_table,frm_cd,frm_nm,frm_typ_cd,prd_cd,comp_cd,disp_seq,addtn_yn,use_yn,note
t_prc_price_formulas,PRF_FOAMBOARD_FIXED,폼보드 고정가형(규격×색상 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형). 판매가 = component_prices 룩업 by (siz=규격, min_qty=수량)[+색상 comp_cd]. PRF_POSTER_FIXED 면적-좌표 오바인딩 대체. 수량스케일/할인=외부(round-1)"
t_prc_price_formulas,PRF_FOMEXBOARD_FIXED,포맥스보드 고정가형(규격×색상 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형). 색상 화이트/검정 = per-색상 comp_cd"
t_prc_price_formulas,PRF_FRAMELESS_WOOD_FIXED,프레임리스우드액자 고정가형(규격 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형). 판매가 = component_prices 룩업 by (siz=규격, min_qty=1)"
t_prc_price_formulas,PRF_LEATHER_FRAME_FIXED,레더아트액자 고정가형(규격 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형)"
t_prc_price_formulas,PRF_CANVAS_HANGING_FIXED,캔버스행잉포스터 고정가형(규격 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형)"
t_prc_price_formulas,PRF_LINEN_WOODBONG_FIXED,린넨우드봉족자 고정가형(규격 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형)"
t_prc_price_formulas,PRF_JOKJA_FIXED,족자포스터 고정가형(규격 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형)"
t_prc_price_formulas,PRF_PET_BANNER_FIXED,PET배너 고정가형(규격 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형)"
t_prc_price_formulas,PRF_MESH_BANNER_FIXED,메쉬배너 고정가형(규격 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형)"
t_prc_price_formulas,PRF_SHEETCUT_MATTE_FIXED,무광시트커팅 고정가형(규격 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형). 색상 화이트/블랙 동일가→단일 comp"
t_prc_price_formulas,PRF_SHEETCUT_HOLO_FIXED,홀로그램 시트커팅 고정가형(규격 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형)"
t_prc_price_formulas,PRF_ACRYLSTK_GLOSS_FIXED,유광아크릴스티커 고정가형(규격 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형). 색상 화이트/블랙 동일가→단일 comp"
t_prc_price_formulas,PRF_ACRYLSTK_MIRROR_FIXED,미러아크릴스티커 고정가형(규격 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형). 색상 골드/실버 동일가→단일 comp"
t_prc_price_formulas,PRF_MINI_STANDBOARD_FIXED,미니보드스탠딩 고정가형(규격×수량구간 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형). 5단 수량구간(4/19/49/99/10000)=min_qty 차원, 외부 곱셈/할인 없음"
t_prc_price_formulas,PRF_MINI_BANNER_FIXED,미니배너 고정가형(규격×수량구간 룩업),FRM_TYPE.02,,,,,Y,"고정가형(단순형). 5단 수량구간(4/19/49/99/10000)=min_qty 차원"
t_prc_formula_components,PRF_FOAMBOARD_FIXED,,,,COMP_FOAMBOARD_WHITE,1,N,,"단순형 룩업 단일 comp(화이트). addtn_yn=N(합산 아님, 룩업)"
t_prc_formula_components,PRF_FOAMBOARD_FIXED,,,,COMP_FOAMBOARD_BLACK,2,N,,"단순형 룩업 단일 comp(검정). 화이트/검정은 사용자 색상 선택 분기(둘 중 1)"
