prd_cd,상품명,상품군,종이류,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,등급,완성률,위젯클래스,다음한걸음,근거,widget_eligible,golden_status
PRD_000027,2단접지카드,디지털인쇄,Y,PASS,PASS,PASS,PASS,PASS,PASS,WARN,N/A,WARN,PASS,PASS,L3,92.6,W-CASCADE,"CPQ/판형 적재(D7,D9)→L4",calc=OK;frm=PRF_DGP_E;OC=83;pfm=BOUND_OK,Y,표본 라이브 PRICE>0 실측확인 (골든 전수대조는 후속)
PRD_000029,3단접지카드,디지털인쇄,Y,PASS,PASS,PASS,PASS,PASS,PASS,WARN,N/A,WARN,PASS,PASS,L3,92.6,W-CASCADE,"CPQ/판형 적재(D7,D9)→L4",calc=OK;frm=PRF_DGP_E;OC=83;pfm=BOUND_OK,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000203,LED투명키캡키링,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000002,OPP비접착봉투,상품악세사리,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L1(기성),100.0,W-ADDON(부속),기성 고정가 적재 확인(§7),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000001,OPP접착봉투,상품악세사리,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L1(기성),100.0,W-ADDON(부속),기성 고정가 적재 확인(§7),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000136,PET배너,실사,N,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,N/A,WARN,N/A,WARN,L3,84.4,W-AREA,"CPQ/판형 적재(D7,D9)→L4",calc=OK;frm=PRF_POSTER_PET_BANNER;R1=MAT_000223(우드거치대);OC=50;pfm=BOUND_OK,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000070,PUR책자,책자,Y,PASS,PASS,WARN,FAIL,WARN,WARN,PASS,N/A,N/A,WARN,WARN,L2+,60.2,W-SET,골든 불일치 조사(판수/단가 대조),calc=UNSCORED-축미탑재;frm=PRF_BIND_PUR;OC=100;pfm=BOUND_OK,N,n/a (L3 미만)
PRD_000242,광목 스트링 라벨파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000192,규조토코스터,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000212,극세사클리너,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000207,극세사타월,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,N/A,N/A,N/A,N/A,WARN,L1,22.4,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000022,금은별색엽서,디지털인쇄,Y,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,L3,90.0,W-CASCADE,"CPQ/판형 적재(D7,D8,D9)→L4",calc=OK;frm=PRF_DGP_A;OC=80;pfm=BOUND_OK,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000055,낱장 자유형 스티커,스티커,Y,PASS,PASS,PASS,PASS,PASS,PASS,WARN,N/A,N/A,PASS,PASS,L3,95.5,W-FIX,CPQ/판형 적재(D7)→L4,calc=OK;frm=PRF_STK_FIXED;OC=60;pfm=BOUND_OK,Y,표본 라이브 PRICE>0 실측확인 (골든 전수대조는 후속)
PRD_000056,낱장 자유형 투명스티커,스티커,Y,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,N/A,N/A,PASS,PASS,L3,90.9,W-FIX,CPQ/판형 적재(D7)→L4,calc=OK;frm=PRF_STK_FIXED;OC=50;pfm=BOUND_OK,Y,체인완전(바인딩·단가행 OK)·골든 미대조
