상품,재단,엔진판수,시트판걸이,마스터판수,현재가,시트교정가,마스터교정가,판정
핑크별색엽서,100x150,9,8,,15576,16689,,엔진≠권위(시트)
3단접지카드,100x150,9,8,,23389,25060,,엔진≠권위(시트)
화이트인쇄엽서,100x150,9,8,,17395,18638,,엔진≠권위(시트)
인쇄배경지OPP,86x120,10,9,,45333,47488,,엔진≠권위(시트)
인쇄배경지OPP,76x120,10,9,,45333,47488,,엔진≠권위(시트)
프리미엄엽서,100x150,9,8,8,14989,16060,16060,엔진≠권위(시트마스터합치)
프리미엄엽서,73x98,18,18,15,9594,9594,10965,권위충돌(시트18=엔진vs마스터15)
인쇄배경지투명케이스,74x74,15,24,,42622,38789,,엔진<시트(중첩배치·엔진과소)
인쇄배경지투명케이스,74x109,12,16,,43178,41022,,엔진<시트(중첩배치)
투명엽서,98x98,12,12,8,21000,21000,31500,권위충돌(마스터8=투명자재·시트12=generic)
투명엽서,100x150,9,8,6,29400,31500,42000,3자불일치(마스터6=투명자재)
투명엽서,135x135,6,6,4,39000,39000,58500,권위충돌(마스터4=투명자재)
금은별색엽서,100x150,9,8,,15576,16689,,엔진≠권위(시트)
라벨택,40x80,30,24,,16569,20711,,엔진≠권위(시트·엔진과다)
라벨택,25x110,26,24,,19211,19211,,엔진≠권위(시트·미세)
2단접지카드,110x170,4,4,8,47119,47119,23559,권위충돌(마스터8vs시트4=엔진)
2단접지카드,100x150,9,8,8,23389,25060,25060,엔진≠권위(시트마스터합치)
2단접지카드,135x135,6,6,8,35413,35413,26560,권위충돌(마스터8vs시트6=엔진)
코팅엽서,100x150,9,8,8,15089,16167,16167,엔진≠권위(시트마스터합치)
코팅엽서,73x98,18,18,15,9644,9644,11022,권위충돌(시트18=엔진vs마스터15)
스탠다드엽서,148x210,4,4,6,24619,24619,16413,권위충돌(마스터6vs시트4=엔진)
스탠다드엽서,100x150,9,8,8,14989,16060,16060,엔진≠권위(시트마스터합치)
스탠다드엽서,73x98,18,18,15,9594,9594,10965,권위충돌(시트18=엔진vs마스터15)
